C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:17:00

spstring~'G' & nbref>=30
------------------------

Number of objects : 3976

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|----|----
59  |BD+49 435                          |** |01 40 51.65667 +49 52 31.0057          |     ~|     ~|     ~|     ~|     ~|G5IV                 |  30|   0
60  |* 14 Per                           |*  |02 44 05.1591849213 +44 17 49.348817414|     ~| 6.320| 5.435|     ~|     ~|G0Ib-IIaCa1          | 125|   0
61  |HD 20347                           |** |03 17 44.01668 +38 38 21.1798          |     ~|     ~|     ~| 7.92 |     ~|G0                   |  62|   0
62  |HD 197037                          |PM*|20 39 32.9601465139 +42 14 54.773585901|     ~|     ~|     ~| 6.61 |     ~|G0                   |  47|   1
63  |HD 195987                          |SB*|20 32 51.6401132416 +41 53 54.595343713|     ~| 7.89 |     ~| 6.6  |     ~|G9V                  | 150|   0
64  |HD 200102                          |*  |20 59 51.2979661611 +44 59 47.218669754|     ~| 7.642| 6.647|     ~|     ~|G1Ib                 |  40|   0
65  |HD 199939                          |SB*|20 58 43.4952470116 +44 24 52.450966669|     ~| 8.74 | 7.44 |     ~|     ~|G9III:Ba4            |  79|   0
66  |HD 199178                          |Ro*|20 53 53.6522297846 +44 23 11.078229740|     ~| 7.98 | 7.24 |     ~|     ~|G5III-IV             | 200|   1
67  |EM* LkHA 190                       |Or*|20 58 53.7336698326 +44 15 28.384667940|     ~|14.26 |12.33 |12.13 |     ~|F7/G3I/IIe           | 478|   0
68  |V* V1934 Cyg                       |a2*|21 24 55.4392700588 +49 19 23.254288761| 6.55 | 6.55 | 6.58 |     ~|     ~|A0VpSrCrSiHg         |  50|   0
69  |HD 204411                          |a2*|21 26 51.6210422364 +48 50 06.598904376| 5.54 | 5.38 | 5.31 |     ~|     ~|A4VpSiCrHg           | 172|   0
70  |HD 206731                          |*  |21 42 38.8104284856 +49 36 00.889325116|     ~| 7.084| 6.089|     ~|     ~|G8II                 |  41|   0
71  |* bet Lac                          |** |22 23 33.6237466 +52 13 44.564655      | 6.26 | 5.46 | 4.44 | 3.67 | 3.10 |G9IIIbCa1            | 143|   0
72  |HD 214222                          |SB*|22 35 42.6711290705 +53 12 14.411224059|     ~| 8.77 | 8.19 |     ~|     ~|G1V                  |  57|   0
73  |V* RT And                          |RS*|23 11 10.0981467675 +53 01 33.031477014|     ~| 9.58 | 9.043| 8.73 |     ~|F8V+G0-K1-3V         | 363|   0
74  |HD 6250                            |PM*|01 04 16.6000964063 +54 12 15.289211578|     ~| 7.34 | 6.83 |     ~|     ~|G0                   |  38|   0
75  |* mu. Cas                          |SB*|01 08 16.39470 +54 55 13.2264          | 5.93 | 5.86 | 5.17 | 4.55 | 4.13 |G5Vb                 | 545|   1
76  |HD 9331                            |PM*|01 33 02.1673742403 +53 02 01.528992636|     ~|     ~|     ~| 8.0  |     ~|G5                   |  43|   0
77  |* 2 Per                            |SB*|01 52 09.3724316574 +50 47 34.066209587| 5.38 | 5.623| 5.689|     ~|     ~|B9pHgMn              |  89|   0
78  |* 6 Per                            |SB*|02 13 36.3408419416 +51 03 56.822229076|     ~| 6.24 |     ~| 4.7  |     ~|G8.5IIIbFe-2         | 124|   0
79  |* 64 And                           |*  |02 24 24.9159445992 +50 00 23.561940805| 6.93 | 6.17 | 5.19 |     ~|     ~|G8III                |  55|   0
80  |HD 15777                           |SB*|02 33 53.7092339385 +49 30 21.795383740|     ~|     ~|     ~| 7.4  |     ~|G0                   |  34|   0
81  |HD 17656                           |*  |02 51 41.7298460931 +46 50 30.990424563|     ~| 6.762| 5.859|     ~|     ~|G8III                |  34|   0
82  |HD 17647                           |** |02 51 39.5660600264 +45 58 45.699748789|     ~| 9.38 |     ~| 8.3  |     ~|G5                   |  64|   0
83  |* kap Per                          |PM*|03 09 29.7715574 +44 51 27.146337      | 5.62 | 4.79 | 3.81 | 3.07 | 2.57 |G9.5IIIb             | 224|   0
84  |HD 194069                          |SB*|20 22 03.0556395381 +41 07 55.689561854|     ~| 7.409| 6.383|     ~|     ~|G9Ib-II              |  48|   0
85  |HD 194220                          |** |20 22 55.53181 +42 59 00.7529          |     ~|     ~|     ~| 6.96 |     ~|G8III                |  34|   0
86  |V* V1515 Cyg                       |Or*|20 23 48.0159810586 +42 12 25.780858811|     ~|15.26 |13.39 |12.03 |     ~|G0/G2Ib              | 215|   0
87  |GJ 786.1                           |PM*|20 15 52.6335837858 +42 58 44.604508919|     ~|11.43 |10.041| 9.486|     ~|G/K                  |  30|   0
88  |BD+45 3310                         |SB*|20 52 44.8847215644 +46 06 47.422421312|     ~| 9.516| 8.709| 8.85 |     ~|G8V                  |  35|   0
89  |V* BZ Cyg                          |cC*|20 45 59.7977146402 +45 18 25.046168919|     ~|11.8  |10.2  |     ~| 8.331|F7Ib-G4Ib:           |  89|   0
90  |HD 199612                          |*  |20 56 25.8952118117 +49 11 44.990557095|     ~| 6.963| 5.913|     ~|     ~|G8II-III             |  32|   0
91  |V* V520 Cyg                        |cC*|20 54 57.5309571381 +47 32 01.690667585|     ~|12.10 |10.89 |     ~|     ~|G0                   |  43|   0
92  |BD+51 3079                         |SB*|21 31 27.4747132319 +52 37 11.468254031|     ~| 7.051| 6.180|     ~|     ~|G2II+B9V             |  49|   0
93  |HD 210144                          |PM*|22 06 41.8003982004 +53 07 50.334913791|     ~| 8.58 |     ~| 7.3  |     ~|G8V                  |  46|   0
94  |HD 235858                          |pA*|22 29 10.3755939027 +54 51 06.341145584|     ~|11.40 | 9.52 | 8.47 | 7.34 |G5Ia                 | 238|   0
95  |V* X Lac                           |cC*|22 49 03.1806947647 +56 25 41.530855473|     ~| 9.21 | 8.42 |     ~|     ~|G5                   | 155|   0
96  |V* V Lac                           |cC*|22 48 37.9957086435 +56 19 17.540249050|     ~| 9.72 | 8.89 |     ~| 7.883|G5                   | 148|   0
97  |V* V509 Cas                        |LP*|23 00 05.1007915562 +56 56 43.348681058| 8.01 | 6.68 | 5.13 | 3.96 | 3.11 |G4_0                 | 313|   0
98  |* rho Cas                          |LP*|23 54 23.0339951270 +57 29 57.766930774| 7.00 | 5.85 | 4.59 | 3.63 | 2.89 |G2_0                 | 361|   0
99  |HD 222794                          |** |23 43 27.0430855750 +58 04 49.070684231|     ~| 7.77 |     ~| 6.8  |     ~|G2V                  |  71|   0
100 |HD 70                              |PM*|00 05 41.6707364511 +58 18 47.732621385|     ~|     ~|     ~| 7.8  |     ~|G0                   |  31|   0
101 |HD 123A                            |PM*|00 06 15.8132382232 +58 26 12.114992353|     ~| 7.12 | 6.42 |     ~|     ~|G3V                  |  31|   0
102 |HD 123                             |** |00 06 15.81412 +58 26 12.2207          |     ~|     ~|     ~| 7.01 |     ~|G3V+G8V              | 174|   0
103 |HD 2665                            |PM*|00 30 45.4467882867 +57 03 53.626973228| 8.66 | 8.51 | 7.72 |     ~|     ~|G5IIIw               | 167|   0
104 |V* V473 Cas                        |EB*|01 34 52.2529593896 +56 39 09.401293056|     ~|     ~|     ~|     ~|     ~|G2                   |  34|   0
105 |HD 13137                           |PM*|02 10 07.7499941896 +53 50 35.131648506|     ~| 7.262| 6.303|     ~|     ~|G8III                |  31|   0
106 |V* V471 Per                        |Al*|01 58 49.6642388419 +52 53 48.460982843|     ~|14.06 |13.08 |     ~|     ~|G2Ib                 | 169|   1
107 |HD 18474                           |*  |02 59 49.7890668899 +47 13 14.556905395|     ~| 6.348| 5.485|     ~|     ~|G5:III:CN-3CH-2Hdel-1|  97|   0
108 |HD 21448                           |** |03 29 13.74899 +45 02 57.5558          |     ~| 7.44 | 7.14 |     ~|     ~|B1V+G8III            |  35|   0
109 |HD 21727                           |** |03 32 05.0971702026 +43 40 11.539266012|     ~|     ~|     ~| 8.2  |     ~|G9                   |  60|   0
110 |HD 22521                           |SB*|03 38 57.1768395380 +42 32 18.064304789|     ~|     ~|     ~| 6.4  |     ~|G0                   |  49|   0
111 |HD 23050                           |PM*|03 43 47.6956356857 +42 36 12.093176432|     ~| 8.06 |     ~| 7.1  |     ~|G2V                  |  57|   0
112 |HD 22193                           |** |03 36 09.4685 +42 20 21.889            |     ~| 9.04 | 8.40 | 8.74 |     ~|G5                   |  67|   0
113 |V* WW Cyg                          |Al*|20 04 02.7111846702 +41 35 16.462678290|     ~|10.163|10.10 |     ~| 9.875|B8k:+G?              | 103|   0
114 |HD 188753                          |** |19 54 58.3717655 +41 52 17.529759      |     ~| 8.22 |     ~| 6.9  |     ~|G9V                  | 122|   1
115 |HD 191854                          |SB*|20 10 13.32676 +43 56 44.0669          |     ~|     ~|     ~| 8.05 |     ~|G4V+G8V              |  99|   0
116 |V* SZ Cyg                          |cC*|20 32 54.2939988595 +46 36 04.582313595|     ~|10.80 | 9.37 |     ~| 7.770|F7.5/8-G6.5Ib        | 137|   0
117 |EM* LkHA 120                       |Or*|21 01 09.2068364908 +50 21 44.803310926|13.37 |13.09 |11.99 |11.75 |     ~|F0/F4-G5             | 187|   1
118 |HD 211554                          |*  |22 16 26.5634835956 +57 13 12.853034712|     ~| 6.832| 5.882|     ~|     ~|G8III                |  35|   0
119 |V* CR Cep                          |cC*|22 46 24.7705225443 +59 26 31.922218882|     ~|10.94 | 9.64 |     ~| 7.931|G0                   |  81|   0
120 |V* DI Cep                          |Or*|22 56 11.5378442456 +58 40 01.770384984|     ~|12.01 |11.95 |     ~|     ~|G8IVe                | 129|   0
121 |HD 224233                          |PM*|23 56 11.4341713204 +59 46 03.387035728|     ~| 8.30 |     ~| 7.2  |     ~|G1                   |  50|   0
122 |HD 1239                            |*  |00 16 57.0430453461 +61 31 59.455584709|     ~| 6.634| 5.737|     ~|     ~|G8III                |  31|   0
123 |V* DL Cas                          |cC*|00 29 58.5886100054 +60 12 43.069687745|10.66 | 9.88 | 8.63 |     ~| 7.582|G1Ib-IIHdel-1        | 299|   0
124 |HD 5408                            |** |00 56 46.97166 +60 21 46.2192          |     ~| 5.500| 5.566|     ~|     ~|B7Vn+B9VHgMn+A1V     | 121|   1
125 |HD 4362                            |*  |00 46 42.4586126345 +59 34 28.344181582|     ~| 7.463| 6.410|     ~|     ~|G0Ibe                |  74|   0
126 |* ups01 Cas                        |PM*|00 55 00.1554743119 +58 58 21.700075603|     ~| 6.042| 4.820|     ~|     ~|G8III                |  95|   0
127 |* ups02 Cas                        |Pe*|00 56 39.9041301647 +59 10 51.800571997|     ~| 5.581| 4.622|     ~|     ~|G8.5IIIbFe-0.5       | 208|   0
128 |V* XY Cas                          |cC*|00 49 53.2639168236 +60 07 38.578594168|     ~|11.00 | 9.97 |     ~|     ~|G0Ib                 | 102|   0
129 |HD 7010                            |*  |01 11 37.5781725001 +60 30 22.617376291|     ~| 9.22 | 8.2  |     ~|     ~|G8III?               |  30|   0
130 |* chi Cas                          |*  |01 33 55.8803462403 +59 13 55.387594638|     ~| 5.675| 4.681|     ~|     ~|G9IIIb               | 111|   0
131 |HD 13403                           |PM*|02 12 56.0621228415 +57 12 16.185008412| 7.79 | 7.66 | 7.00 | 6.44 | 6.05 |G3V                  |  65|   0
132 |HD 11544                           |*  |01 54 56.3723400065 +56 34 56.918000571|     ~| 7.955| 6.827|     ~|     ~|G2Ib                 |  47|   0
133 |* tau Per                          |Al*|02 54 15.4684102508 +52 45 44.885218477| 5.17 | 4.71 | 3.96 | 3.33 | 2.89 |G8III+A7V            | 156|   0
134 |* iot Per                          |PM*|03 09 04.0198629 +49 36 47.799638      | 4.76 | 4.64 |     ~| 3.7  |     ~|G0V                  | 503|   0
135 |HD 18916                           |PM*|03 04 24.9293211804 +50 01 56.533337102|10.455|     ~|     ~| 7.6  |     ~|G5                   |  35|   0
136 |V* V522 Per                        |BY*|03 18 27.4050004778 +47 21 15.382617166|     ~|12.26 |11.42 |     ~|     ~|G3                   |  33|   0
137 |V* LX Per                          |RS*|03 13 22.3673089132 +48 06 31.277993568|     ~| 8.97 | 8.24 |     ~|     ~|G5IV                 | 132|   0
138 |V* V531 Per                        |BY*|03 24 49.7160283185 +48 52 18.293582625|     ~|12.41 |11.62 |     ~|     ~|G5                   |  44|   0
139 |V* V484 Per                        |BY*|03 22 21.9198509634 +49 08 27.728460091|     ~|12.07 |11.37 |     ~|     ~|G6V                  |  51|   0
140 |V* RT Per                          |Al*|03 23 40.3989841994 +46 34 35.841240515|     ~|11.22 |10.73 |     ~|     ~|F5+G0                | 153|   0
141 |HD 23838                           |SB*|03 50 04.4256843048 +44 58 04.346569489|     ~| 6.417| 5.657|     ~|     ~|G7III+F0IV:          |  62|   0
142 |V* V1154 Cyg                       |cC*|19 48 15.4663192383 +43 07 36.959329251|     ~| 9.92 | 9.14 |     ~| 8.120|G0                   |  79|   0
143 |V* DF Cyg                          |RV*|19 48 53.9459890026 +43 02 14.543926251|     ~|12.19 |10.80 |     ~|10.484|G6/7Ib/IIa           |  40|   0
144 |HD 203802                          |** |21 22 20.50554 +57 33 54.8312          |     ~| 9.32 | 8.92 | 8.71 |     ~|G5                   |  51|   0
145 |HD 204613                          |SB*|21 27 43.0051874955 +57 19 18.960564661|     ~|     ~|     ~| 7.8  |     ~|G1IIIa:_CH1.5        |  95|   0
146 |V* IR Cep                          |cC*|21 57 51.9255446770 +61 01 07.903989255|     ~| 8.68 | 7.86 |     ~|     ~|G0                   |  83|   1
147 |HD 216380                          |** |22 51 22.62911 +61 41 48.2545          |     ~|     ~|     ~| 6.75 |     ~|G8III-IV+G2IV        |  55|   0
148 |HD 221585                          |PM*|23 32 54.0463361849 +63 09 19.735377411|     ~| 8.18 |     ~| 7.0  |     ~|G8IV                 |  52|   0
149 |V* CY Cas                          |cC*|23 29 12.7619630267 +63 22 27.487447379|     ~|13.48 |11.67 |     ~| 9.627|G1-2Ib               |  60|   0
