C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:17:00

spstring~'G' & nbref>=30
------------------------

Number of objects : 3976

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|----|----
2088|* 38 LMi                           |SB*|10 39 07.6323508333 +37 54 36.000847569|     ~| 6.42 |     ~| 5.5  |     ~|G0IV                 |  58|   0
2089|* 37 LMi                           |*  |10 38 43.2126896 +31 58 34.460669      |     ~| 5.494| 4.677|     ~|     ~|G2.5IIIa             | 144|   0
2090|HD 91856                           |PM*|10 36 41.0482158800 +21 36 11.733165903|     ~| 9.52 |     ~| 8.3  |     ~|G5                   |  33|   0
2091|HD 90915                           |** |10 30 06.39155 +20 48 04.2838          |     ~| 9.01 | 8.52 | 8.45 |     ~|G0V                  |  32|   0
2092|HD 91204                           |*  |10 32 05.5009924924 +17 59 23.050873532|     ~| 8.44 | 7.82 |     ~|     ~|G0                   |  53|   0
2093|HD 91988                           |PM*|10 37 36.7978276102 +18 20 58.292520093|     ~| 9.05 | 8.38 |     ~|     ~|G5                   |  30|   0
2094|V* ET Leo                          |WU*|10 33 25.7879716061 +17 34 27.434536482|     ~|10.21 | 9.558|     ~| 8.734|G5                   |  46|   0
2095|V* UV Leo                          |Al*|10 38 20.7689543921 +14 16 03.664614856|     ~| 9.62 | 8.92 | 9.188| 8.194|G0V                  | 251|   0
2096|G 44-30                            |PM*|10 40 21.4366307432 +11 11 28.560560951|     ~|11.94 |     ~|10.7  |     ~|G0                   |  34|   0
2097|* 48 Leo                           |PM*|10 34 48.0136176314 +06 57 13.502416781|     ~| 6.008| 5.070|     ~|     ~|G8.5IIIFe-1          | 102|   0
2098|HD 91962                           |** |10 36 59.9963979768 -08 50 23.556918779|     ~| 7.65 | 7.03 |     ~| 6.34 |G1V                  |  58|   0
2099|HD 92547                           |*  |10 40 56.0439856308 -13 07 46.300305498|     ~| 8.65 | 8.11 |     ~|     ~|F7/G0                |  41|   0
2100|* phi Hya                          |SB*|10 38 34.9474422215 -16 52 35.568712507|     ~| 5.824| 4.903|     ~|     ~|G8IIIb               |  78|   0
2101|HD 91121                           |PM*|10 30 51.7727380633 -21 13 37.124439084|     ~| 9.33 | 8.72 | 8.5  | 9.02 |G1wF2/5V             |  37|   0
2102|V* UW LMi                          |Al*|10 43 30.2041525254 +28 41 09.088892659|     ~| 8.90 | 8.32 |     ~|     ~|G0V                  |  31|   0
2103|HD 93215                           |PM*|10 46 09.2336201915 +25 45 39.690448783|     ~| 8.70 | 8.05 | 7.4  |     ~|G5V                  |  40|   0
2104|* k Leo                            |PM*|10 46 25.2772019112 +14 11 40.728378916|     ~| 6.386| 5.478|     ~|     ~|G4III:               |  54|   0
2105|* 33 Sex                           |PM*|10 41 24.1859207379 -01 44 29.366215211|     ~| 7.145| 6.250|     ~|     ~|G9IV                 | 151|   0
2106|HD 92788                           |PM*|10 42 48.5280658285 -02 11 01.522096792|     ~| 8.01 | 7.30 |     ~|     ~|G6V                  | 196|   1
2107|V* VY Sex                          |EB*|10 50 29.7198626061 -02 41 43.072261318|     ~| 9.60 | 9.01 |     ~| 8.349|G2V                  |  37|   0
2108|HD 92719                           |PM*|10 42 13.3208450312 -13 47 15.767668830| 7.519| 7.406| 6.767| 6.42 | 6.083|G1.5V                |  86|   0
2109|HD 93932                           |PM*|10 50 25.5124685325 -15 06 15.075699449|     ~| 8.15 | 7.53 |     ~|     ~|G3V                  |  53|   0
2110|HD 94151                           |PM*|10 51 39.2309489636 -22 04 18.580390936|     ~| 8.54 | 7.82 |     ~|     ~|G8V                  |  61|   0
2111|HD 93529                           |Pe*|10 47 29.0134113275 -25 26 14.583999059|     ~|10.08 | 9.31 | 8.92 |     ~|G6/8w                |  56|   0
2112|HD 93849                           |PM*|10 49 35.4016074250 -29 59 39.913346922|     ~| 8.41 | 7.85 |     ~|     ~|G0/1V                |  32|   0
2113|HD 93745                           |PM*|10 49 00.5194327840 -31 03 32.922157581|     ~| 8.10 | 7.50 |     ~|     ~|G2V                  |  52|   0
2114|HD 92987                           |*  |10 43 36.2772258347 -39 03 30.548308427|     ~| 7.66 | 7.02 |     ~|     ~|G2/3V                |  51|   0
2115|HD 93385                           |PM*|10 46 15.1160197580 -41 27 51.726112295|     ~| 8.08 | 7.486| 7.61 | 8.82 |G2/3V                |  72|   1
2116|* 47 UMa                           |PM*|10 59 27.9738644892 +40 25 48.922388918|     ~| 5.66 |     ~| 4.7  |     ~|G1-VFe-0.5           | 715|   1
2117|* 47 LMi                           |PM*|10 54 58.1788203722 +34 02 05.279684423|     ~| 6.757| 5.725|     ~|     ~|G7III:               |  34|   0
2118|V* XZ LMi                          |RS*|10 59 48.2812790453 +25 17 23.483528399|     ~| 9.19 | 8.45 |     ~|     ~|G8V                  |  45|   0
2119|HD 94835                           |PM*|10 57 09.5529309533 +21 48 17.543465105|     ~| 8.59 |     ~| 7.5  |     ~|G0                   |  61|   0
2120|HD 94220                           |** |10 52 34.18151 +05 00 09.4179          |     ~| 9.49 | 9.01 | 8.73 |     ~|G2                   |  36|   0
2121|HD 95089                           |PM*|10 58 47.7364681004 +01 43 45.173394402|     ~| 8.897| 7.95 |     ~|     ~|G8/K0IV              |  36|   1
2122|HD 94363                           |SB*|10 53 24.9586881966 -02 15 18.610317119|     ~| 7.043| 6.117|     ~|     ~|G8III                |  64|   0
2123|* p01 Leo                          |** |10 53 43.7121523464 -02 07 45.129560659|     ~| 6.417| 5.449|     ~|     ~|G8III                |  57|   1
2124|HD 95280                           |** |11 00 02.05459 -03 28 16.7467          |     ~| 9.14 | 8.76 | 7.99 |     ~|G1V                  |  34|   0
2125|HD 94280                           |PM*|10 52 48.9439739737 -06 49 19.174520114|     ~| 7.73 | 7.17 |     ~|     ~|G0/1V                |  50|   0
2126|HD 94690                           |PM*|10 55 43.3747867182 -05 33 05.701387536|     ~| 8.94 | 8.22 |     ~|     ~|G6V                  |  31|   0
2127|HD 94268                           |PM*|10 52 44.4295365430 -11 25 22.871641838|     ~| 8.18 | 7.63 |     ~|     ~|G0VFe-0.7CH-0.3      |  31|   0
2128|HD 95808                           |** |11 03 14.8793925739 -11 18 12.479468667|     ~| 6.450| 5.511|     ~|     ~|G7-IIIb              |  32|   0
2129|HD 94481                           |*  |10 54 17.7767264404 -13 45 28.935298555|     ~| 6.487| 5.651|     ~|     ~|G4III-IIIb           |  54|   0
2130|HD 94270                           |PM*|10 52 39.2827085858 -17 01 48.889489725|     ~| 8.35 | 7.77 |     ~|     ~|G2V                  |  39|   0
2131|HD 94340                           |PM*|10 53 04.5347746328 -20 37 41.542377129|     ~| 7.72 | 7.08 |     ~|     ~|G4V                  |  44|   0
2132|HD 94482                           |PM*|10 54 06.5451858479 -23 11 05.432565673|     ~| 9.127| 8.751|     ~|     ~|G1/2V                |  31|   0
2133|HD 94518                           |PM*|10 54 12.2051538955 -31 09 34.585185240|     ~| 8.95 | 8.36 |     ~|     ~|G2V                  |  70|   0
2134|HD 95136                           |PM*|10 58 33.0760814424 -39 55 45.555014864|     ~| 9.31 | 8.65 |     ~|     ~|G3/5V                |  30|   0
2135|HD 97560                           |PM*|11 13 54.7785480870 +39 58 39.945473289| 8.710| 8.580|     ~| 7.5  |     ~|G0                   |  36|   0
2136|HD 97334                           |BY*|11 12 32.3505448605 +35 48 50.691547084|     ~| 7.02 |     ~| 6.0  |     ~|G2                   | 254|   0
2137|BD+36 2165                         |PM*|11 12 48.0000186001 +35 43 43.887345184| 9.98 |10.19 | 9.76 | 9.34 | 9.02 |G0                   | 120|   0
2138|* 51 LMi                           |PM*|11 05 15.4745795131 +25 12 06.856879744|     ~| 8.18 |     ~| 7.2  |     ~|G0                   |  70|   0
2139|HD 96497                           |PM*|11 07 28.8040616751 +22 03 10.703104044| 8.980| 8.830|     ~| 7.8  |     ~|G1V                  |  30|   0
2140|HD 97561                           |** |11 13 40.97512 +20 07 43.8135          |     ~|     ~|     ~| 7.54 |     ~|G5III                |  98|   0
2141|HD 95980                           |PM*|11 04 18.9340450486 +05 47 44.468156868|     ~| 8.90 |     ~| 7.9  |     ~|G5                   |  37|   0
2142|Wolf 365                           |PM*|11 10 59.9989396644 +06 25 11.471066063|     ~|12.13 |     ~|11.0  |     ~|sd:G3                |  76|   0
2143|HD 96937                           |PM*|11 09 40.2205124938 +02 27 22.488764125|     ~| 9.30 | 9.11 | 7.2  |     ~|G8V                  |  51|   0
2144|HD 97356                           |PM*|11 12 16.3351357804 -01 11 13.903827168|     ~| 8.81 | 8.12 |     ~|     ~|G3/5V                |  32|   0
2145|HD 96064                           |BY*|11 04 41.4723398276 -04 13 15.917094753|     ~| 8.41 | 7.64 |     ~|     ~|G8V                  | 113|   0
2146|HD 97037                           |PM*|11 10 13.3434298435 -07 23 21.845579922|     ~| 7.42 | 6.81 |     ~|     ~|G1V                  |  81|   0
2147|HD 96167                           |PM*|11 05 15.0687870608 -10 17 28.694691689|     ~| 8.82 | 8.08 |     ~|     ~|G3V                  |  44|   1
2148|HD 97038                           |** |11 10 11.9307228076 -11 21 36.565942470|     ~| 8.39 | 7.72 |     ~|     ~|G5V                  |  34|   0
2149|HD 96276                           |PM*|11 05 50.7332193429 -20 24 32.680924651|     ~| 8.68 | 8.11 |     ~|     ~|G1V                  |  33|   0
2150|HD 97783                           |PM*|11 14 49.9324727633 -23 38 47.925438535|     ~| 9.67 | 9.04 |     ~|     ~|G1/2V                |  55|   0
2151|HD 97343                           |PM*|11 12 01.1914520663 -26 08 12.005568011| 8.178| 7.815| 7.037| 6.621| 6.241|G8.5V                | 101|   0
2152|HD 96700                           |PM*|11 07 54.4269492842 -30 10 28.445136193|     ~| 7.11 | 6.503| 6.59 | 8.95 |G1VFe-0.5            | 127|   1
2153|HD 97507                           |PM*|11 12 54.0497104488 -34 24 24.279494309|     ~| 9.21 | 8.59 |     ~|     ~|G3V                  |  30|   0
2154|CD-41 6367                         |PM*|11 09 38.9034186070 -42 28 07.398890877|     ~|10.52 | 9.74 |     ~|     ~|G5                   |  33|   0
2155|* 56 UMa                           |SB*|11 22 49.5788610769 +43 28 57.718634912| 6.86 | 6.04 | 5.03 | 4.30 | 3.81 |G8IIIa               | 136|   0
2156|* ksi UMa B                        |SB*|11 18 10.8360115405 +31 31 44.821690914|     ~| 5.41 | 4.77 | 4.4  |     ~|G2V                  | 328|   1
2157|* ksi UMa                          |RS*|11 18 10.931880 +31 31 45.44004        | 4.42 | 4.38 | 3.79 |     ~|     ~|F8.5:V+G2V           | 256|   0
2158|V* FK UMa                          |RS*|11 17 14.5613122765 +29 34 14.224603990|     ~|     ~|     ~| 8.8  |     ~|G0                   |  42|   0
2159|HD 98078                           |PM*|11 17 05.2250660493 +21 17 47.091822152|     ~|     ~|     ~| 7.8  |     ~|G5                   |  32|   0
2160|G 56-30                            |PM*|11 21 35.1061999725 +18 11 44.560256042|     ~|11.50 |     ~|10.7  |     ~|sd?G0                |  30|   0
2161|HD 98630                           |PM*|11 21 02.5205376749 +07 03 51.968986784|     ~| 8.67 | 8.08 |     ~|     ~|G0                   |  40|   0
2162|* 79 Leo                           |*  |11 24 02.3270482419 +01 24 27.950452851|     ~| 6.326| 5.386|     ~|     ~|G8III-IIIb           |  39|   0
2163|HD 99109                           |PM*|11 24 17.3586264283 -01 31 44.663474688|     ~| 9.96 | 9.06 |     ~|     ~|G8/K0IV              |  84|   1
2164|HD 98281                           |PM*|11 18 22.0115721908 -05 04 02.285571491| 8.278| 7.993| 7.232| 6.822| 6.438|G8V                  | 142|   0
2165|HD 99126                           |PM*|11 24 21.7622421433 -05 54 35.945806454|     ~| 7.47 | 6.95 |     ~|     ~|G0V                  |  35|   0
2166|* del Crt                          |PM*|11 19 20.4475617 -14 46 42.741307      | 5.66 | 4.67 | 3.56 | 2.73 | 2.13 |G9IIICH0.5           | 154|   0
2167|HD 98553                           |PM*|11 20 11.5955641402 -19 34 40.457814019|     ~| 8.10 | 7.53 |     ~|     ~|G2VFe-0.7            |  78|   0
2168|HD 98649                           |PM*|11 20 51.7687156812 -23 13 02.425068034|     ~| 8.646| 7.99 | 7.75 | 8.26 |G3/5V                |  48|   1
2169|HD 97998                           |PM*|11 15 49.0169117363 -39 19 24.614311631|     ~| 8.00 | 7.37 |     ~|     ~|G1V                  |  62|   0
2170|CD-42 6971                         |*  |11 25 26.2329243957 -43 11 23.988802077|     ~|11.18 |10.17 |     ~|     ~|G5III                |  32|   0
2171|HD 99505                           |PM*|11 27 03.2349843806 +21 51 08.070555912| 8.340| 8.230|     ~| 7.2  |     ~|G5                   |  37|   0
2172|HD 100655                          |PM*|11 35 03.7529822464 +20 26 29.563671805|     ~| 7.468| 6.438| 6.37 |     ~|G9III                |  30|   1
2173|HD 99404                           |PM*|11 26 25.0001484346 +10 25 22.420828149|     ~| 9.37 |     ~| 8.2  |     ~|G4                   |  33|   0
2174|BD+11 2369                         |PM*|11 32 34.1258815985 +10 54 11.309331363|     ~|10.73 |     ~| 9.7  |     ~|G0                   |  30|   0
2175|* 83 Leo A                         |PM*|11 26 45.3217209044 +03 00 47.158549988| 7.78 | 7.28 | 6.46 | 6.0  |     ~|G9IV-V               | 209|   0
2176|* tau Leo                          |*  |11 27 56.2400660284 +02 51 22.562494014|     ~| 5.940| 4.943|     ~|     ~|G8-IIIa              | 118|   0
2177|* ups Leo                          |*  |11 36 56.9308590 -00 49 25.496304      | 6.05 | 5.31 | 4.30 | 3.58 | 3.06 |G9IIIbFe-0.5         | 120|   0
2178|HD 100777                          |*  |11 35 51.5230327145 -04 45 20.501221342|     ~| 9.19 | 8.42 |     ~|     ~|G8V                  |  51|   1
2179|HD 99610                           |PM*|11 27 30.2378326374 -12 26 09.450036773|     ~| 8.12 | 7.39 |     ~|     ~|G4VCN+0.5            |  33|   0
2180|HD 99565                           |** |11 27 10.77410 -15 38 54.7176          |     ~| 9.29 | 8.95 | 8.46 |     ~|G8VFe+0.5            |  50|   0
2181|HD 100418                          |*  |11 33 14.8246777405 -16 16 49.460893970|     ~| 6.630| 6.044|     ~|     ~|F8/G0Ib/II           |  45|   0
2182|HD 100906                          |*  |11 36 42.4110370161 -18 58 10.581350306|     ~|10.43 | 9.66 |     ~|     ~|G8/K0(w)+F5/8        |  31|   0
2183|HD 100012                          |Pe*|11 30 20.6691965652 -25 47 54.977037912| 8.51 | 7.64 | 6.59 |     ~|     ~|G9III                |  34|   0
2184|HD 100289                          |PM*|11 32 14.4386866572 -31 22 58.495315101|     ~| 9.73 | 8.98 |     ~|     ~|G8/K0V               |  31|   0
2185|HD 100503                          |SB*|11 33 47.2433674235 -31 05 16.757118335|     ~|10.68 | 8.73 |     ~|     ~|G/KpBa               |  39|   0
2186|* ksi Hya                          |** |11 33 00.1150559 -31 51 27.443449      | 5.17 | 4.47 | 3.54 | 2.84 | 2.36 |G7IIIb               | 232|   0
2187|HD 101227                          |PM*|11 39 06.2190662530 +44 18 20.297943594| 9.14 | 9.08 |     ~| 8.0  |     ~|G0                   |  58|   1
2188|* 61 UMa                           |PM*|11 41 03.0159358291 +34 12 05.882438337| 6.31 | 6.08 | 5.34 | 4.73 | 4.38 |G8V                  | 568|   0
2189|HD 102494                          |*  |11 47 56.3624507640 +27 20 26.158636470|     ~| 8.35 | 7.47 |     ~|     ~|G9IV                 |  37|   0
2190|HD 102590                          |** |11 48 38.7108231411 +14 17 03.141199857|     ~|     ~|     ~| 7.18 |     ~|A8V+G2V              |  72|   0
2191|HD 101242                          |PM*|11 39 01.0013295750 +06 03 28.450823167|     ~| 8.30 |     ~| 7.2  |     ~|G5                   |  54|   0
2192|PG 1144+005                        |WD*|11 46 35.2287794057 +00 12 33.539708785|     ~|14.59 |14.9  |     ~|     ~|PG1159               |  79|   0
2193|HD 101093                          |PM*|11 37 59.1044006509 -01 35 57.974851414|     ~| 8.17 | 7.62 |     ~|     ~|G3V                  |  43|   0
2194|HD 102574                          |PM*|11 48 23.4872981214 -10 18 47.171796099|     ~| 6.812| 6.226|     ~|     ~|G0V                  |  79|   0
2195|HD 101197                          |*  |11 38 38.1985485658 -11 14 21.254133988|     ~| 9.38 | 8.75 |     ~|     ~|G3V                  |  36|   0
2196|* zet Crt                          |** |11 44 45.7767687496 -18 21 02.400289273|     ~| 5.677| 4.706|     ~|     ~|G8.5III              |  89|   0
2197|HD 101259                          |PM*|11 39 00.4422407061 -24 43 15.936263622|     ~| 7.24 | 6.42 |     ~|     ~|G6/8V                |  57|   0
2198|HD 101563                          |SB*|11 41 08.4000120847 -29 11 46.447842422|     ~| 7.10 | 6.44 |     ~|     ~|G2III/IV             |  67|   0
2199|HD 102438                          |PM*|11 47 15.8077490164 -30 17 11.437355211|     ~| 7.16 | 6.48 |     ~|     ~|G6V                  | 130|   0
2200|HD 101348                          |PM*|11 39 36.6007668227 -35 13 57.227655258|     ~| 8.54 | 7.82 |     ~|     ~|G2V                  |  35|   0
2201|V* V752 Cen                        |EB*|11 42 48.0813388953 -35 48 57.503249188|     ~| 9.88 | 9.30 | 9.697|     ~|F7/G0(V)             |  71|   0
2202|V* V829 Cen                        |RS*|11 39 22.2370700924 -39 23 07.597273825|     ~| 8.77 | 7.84 |     ~| 6.588|G8IV                 |  61|   0
2203|HD 101847                          |PM*|11 43 12.8754795788 -39 26 19.683819709|     ~| 8.92 | 8.28 |     ~|     ~|G1/2V                |  30|   0
2204|HD 102365                          |PM*|11 46 31.0719919710 -40 30 01.279976346| 5.65 | 5.55 | 4.88 | 4.35 | 3.97 |G2V                  | 289|   1
2205|HD 101614                          |PM*|11 41 26.2426348954 -41 01 05.736705950|     ~| 7.45 | 6.87 |     ~|     ~|G0V                  |  39|   0
2206|HD 102136                          |PM*|11 45 11.3901264244 -40 44 45.624911108|     ~|10.18 | 9.37 |     ~|     ~|G8/K0V               |  35|   0
2207|HD 103431                          |PM*|11 54 35.0803546980 +19 25 40.174275857|     ~| 9.19 |     ~| 8.0  |     ~|G5                   |  59|   0
2208|HD 103432                          |PM*|11 54 32.0676556057 +19 24 40.421350331|     ~| 8.93 |     ~| 7.8  |     ~|G6V                  |  91|   0
2209|V* FZ Leo                          |Ro*|11 58 01.0011173328 +14 02 16.547652913| 9.030| 8.990| 8.430|     ~| 7.681|G5                   |  30|   0
2210|HD 103459                          |PM*|11 54 51.9597374538 -01 27 05.470419360|     ~| 8.28 | 7.60 |     ~|     ~|G5V                  |  42|   0
2211|HD 104056                          |PM*|11 59 03.0838158008 -04 46 38.936919475|     ~| 9.58 | 9.01 |     ~|     ~|G3V                  |  47|   0
2212|V* TY Vir                          |LP*|11 51 50.1113597773 -05 45 44.181741901|     ~| 9.668| 7.97 | 7.57 |     ~|G3Ibp                | 110|   0
2213|HD 103462                          |PM*|11 54 42.5385553 -25 42 49.986869      |     ~| 6.151| 5.272|     ~|     ~|G8III                |  34|   0
2214|HD 103295                          |PM*|11 53 37.0223422254 -28 38 13.021084052|     ~|10.34 | 9.56 |     ~|     ~|G5/6III              |  41|   0
2215|HD 103742                          |PM*|11 56 42.3103758430 -32 16 05.363636391|     ~| 8.28 | 7.64 |     ~|     ~|G3V                  |  48|   1
2216|HD 103743                          |PM*|11 56 43.7784001294 -32 16 02.692044633|     ~| 8.48 | 7.81 |     ~|     ~|G4V                  |  48|   1
2217|HD 104556                          |PM*|12 02 28.9158064308 +43 05 02.697980407|     ~| 7.50 |     ~| 6.1  |     ~|G8V                  |  93|   0
2218|HD 104437                          |PM*|12 01 40.8072149251 +39 35 11.719574884|     ~| 9.28 | 8.6  |     ~|     ~|G5IV                 |  31|   0
2219|HD 105631                          |PM*|12 09 37.2563471150 +40 15 07.404577561|     ~| 8.26 |     ~| 7.0  |     ~|G7V                  | 112|   0
2220|* 1 Com                            |*  |12 01 44.2748878492 +22 05 39.479270229|     ~| 7.218| 6.576|     ~|     ~|G0IIb:Fe-1           |  33|   0
2221|BD+22 2442                         |** |12 08 54.6643032916 +21 47 19.446132546|     ~|     ~|     ~| 9.0  |     ~|G2V                  |  55|   0
2222|HD 105740                          |PM*|12 10 16.9642271874 +16 22 13.349866048|     ~| 9.39 | 8.40 |     ~|     ~|G9III                |  36|   0
2223|* omi Vir                          |PM*|12 05 12.5404884 +08 43 58.749788      | 5.75 | 5.11 | 4.12 | 3.38 | 2.89 |G8IIICN0.5CH1Ba1     | 267|   0
2224|HD 104243                          |PM*|12 00 14.3884826007 +05 21 48.662816824|     ~| 9.18 |     ~| 7.9  |     ~|G9                   |  38|   0
2225|HD 104800                          |PM*|12 04 05.5627465798 +03 20 26.708766113|     ~| 9.80 |     ~| 8.9  |     ~|G3V                  | 104|   0
2226|HD 104988                          |PM*|12 05 12.5288637321 -01 30 32.539285619|     ~| 8.91 | 8.17 |     ~|     ~|G8/K0V               |  70|   0
2227|HD 104263                          |PM*|12 00 27.4567743315 -04 32 55.711791389|     ~| 8.97 | 8.23 |     ~|     ~|G8/K0V               |  46|   1
2228|HD 104304                          |PM*|12 00 44.4611593182 -10 26 46.055023587| 6.76 | 6.32 | 5.55 |     ~|     ~|G8IV                 | 212|   0
2229|HD 105590                          |** |12 09 28.53619 -11 51 25.4049          | 7.41 | 7.22 | 6.56 |     ~|     ~|G4+K5                |  66|   0
2230|V* TZ Crv                          |LP*|12 00 57.2663387395 -21 15 02.778916850|10.82 | 9.55 | 8.14 |     ~|     ~|G6/8IIICNII          |  36|   0
2231|HD 105328                          |PM*|12 07 39.0392604654 -23 58 33.147467730|     ~| 7.32 | 6.71 |     ~|     ~|G0V                  |  44|   0
2232|HD 104893                          |Pe*|12 04 43.1267206557 -29 11 05.194238731|     ~|10.45 | 9.25 |     ~|     ~|F8/G2(e)             |  54|   0
2233|HD 104982                          |PM*|12 05 13.4084510618 -28 43 02.026768791|     ~| 8.47 | 7.82 |     ~|     ~|G2V                  |  75|   0
2234|HD 105113                          |** |12 06 05.19503 -32 57 40.4295          |     ~|     ~|     ~|     ~|     ~|G0V                  |  46|   0
2235|HD 104471                          |SB*|12 01 46.09571 -34 39 01.1429          |     ~| 7.499| 6.955|     ~|     ~|G0V                  |  53|   0
2236|HD 104760                          |PM*|12 03 46.2944066793 -44 07 22.103659522|     ~| 8.68 | 8.07 |     ~|     ~|G2/3III              |  42|   0
2237|HD 107583                          |*  |12 21 49.0266809107 +26 32 56.750832352|     ~| 9.89 | 9.31 |     ~|     ~|G0V                  |  78|   0
2238|HD 107214                          |*  |12 19 28.3548379803 +24 17 03.219680485|     ~| 9.61 | 9.03 |     ~|     ~|G0V                  |  77|   0
2239|* 7 Com                            |*  |12 16 20.5383091 +23 56 43.469998      |     ~| 5.81 | 4.86 |     ~|     ~|G8III-IIIb           | 119|   0
2240|HD 106421                          |PM*|12 14 27.5108489993 +23 39 40.377262509|     ~| 7.99 | 7.35 |     ~|     ~|G3V                  |  30|   0
2241|* 5 Com                            |*  |12 12 09.2903201090 +20 32 31.428362277|     ~| 6.50 | 5.55 |     ~|     ~|G8+IIICH0.5          |  46|   0
2242|HD 107087                          |PM*|12 18 46.1808869256 +19 10 05.199794465|     ~| 8.57 | 8.04 |     ~|     ~|G0V                  |  35|   0
2243|* 11 Com                           |PM*|12 20 43.0255802451 +17 47 34.339258907|     ~| 5.74 | 4.74 |     ~|     ~|G8+IIIFe-1           | 145|   1
2244|HD 107146                          |PM*|12 19 06.5022221429 +16 32 53.870713669|     ~| 7.61 |     ~| 6.7  |     ~|G2V                  | 226|   0
2245|HD 106400                          |WU*|12 14 20.99618 +11 49 09.3870          |     ~| 9.94 | 9.22 | 9.37 | 8.390|G8V                  | 216|   0
2246|HD 106210                          |PM*|12 13 13.1187136931 +10 49 17.961030099|     ~| 8.24 |     ~| 7.1  |     ~|G3V                  |  74|   0
2247|HD 106156                          |PM*|12 12 57.5321593334 +10 02 15.777335940|     ~| 8.71 |     ~| 7.4  |     ~|G8V                  |  84|   0
2248|HD 106423                          |PM*|12 14 27.3275147275 +08 46 56.593518048|     ~| 8.10 | 7.48 |     ~|     ~|G0                   |  33|   0
2249|HD 106252                          |PM*|12 13 29.5100104731 +10 02 29.888816943|     ~| 8.00 |     ~| 7.0  |     ~|G0                   | 159|   1
2250|HD 106116                          |PM*|12 12 28.8425973802 -03 05 04.108792898|     ~| 8.15 | 7.50 |     ~|     ~|G5V                  | 152|   0
2251|HD 107148                          |PM*|12 19 13.4912515291 -03 19 11.239207186|     ~| 8.72 | 8.02 |     ~|     ~|G5V                  |  95|   1
2252|HD 105901                          |PM*|12 11 17.8629954925 -05 55 33.882306529|     ~| 8.80 | 8.18 |     ~|     ~|G3/5V                |  34|   0
2253|HD 106270                          |PM*|12 13 37.2859501593 -09 30 48.174687559|     ~| 8.319| 7.58 |     ~|     ~|G5IV                 |  43|   1
2254|HD 107038                          |PM*|12 18 32.1195152167 -08 54 15.910703400|     ~| 8.05 | 7.49 |     ~|     ~|G0V                  |  34|   0
2255|HD 105913                          |** |12 11 22.90723 -16 47 27.0321          |     ~|     ~|     ~|     ~|     ~|G6V+G7V              |  31|   0
2256|HD 107181                          |PM*|12 19 27.3390108743 -26 06 26.552995141|     ~| 9.15 | 8.40 |     ~|     ~|G3V                  |  31|   0
2257|HD 107541                          |SB*|12 21 48.0769731114 -34 46 48.142712664|11.00 |10.45 | 9.39 |     ~|     ~|G9IIIBa8             |  40|   0
2258|HD 106489                          |PM*|12 14 57.4001625297 -41 08 21.910407780|     ~| 8.13 | 7.48 |     ~|     ~|G5V                  |  40|   0
2259|* bet CVn                          |** |12 33 44.5448195 +41 21 26.924857      | 4.91 | 4.86 | 4.25 | 3.73 | 3.42 |G0V                  | 543|   0
2260|HD 108076                          |PM*|12 24 45.8892348867 +38 19 07.461955799|     ~| 8.58 |     ~| 7.7  |     ~|G0V                  | 100|   0
2261|* 6 CVn                            |PM*|12 25 50.9378640975 +39 01 07.019489311|     ~| 5.95 | 5.01 |     ~|     ~|G9III                | 134|   0
2262|HD 109280                          |*  |12 33 24.50643 +34 09 45.2276          |     ~| 9.14 | 8.41 |     ~|     ~|G8V                  |  32|   1
2263|HD 108693                          |** |12 29 07.72391 +31 23 25.3903          |     ~|     ~|     ~| 8.72 |     ~|G0                   |  65|   0
2264|BD+27 2121                         |SB*|12 23 41.8288266863 +26 36 05.400266593|     ~| 9.93 | 9.34 |     ~|     ~|G5.5                 |  39|   0
2265|V* RW Com                          |EB*|12 33 00.2841958714 +26 42 58.362399221|     ~|12.33 |11.682|10.929|     ~|G8e                  | 143|   0
2266|V* HZ Com                          |RS*|12 29 40.9243958233 +24 31 14.636714248|     ~|10.58 | 9.76 |     ~|     ~|G8:V                 |  64|   0
2267|HD 108874                          |PM*|12 30 26.8817523074 +22 52 47.380606770|     ~| 9.49 |     ~| 8.3  |     ~|G9V                  | 138|   1
2268|V* DD Com                          |EB*|12 28 46.2477666190 +21 43 33.351551724|     ~|     ~|14.60 |     ~|     ~|G5-G6:               |  39|   0
2269|BD+17 2473                         |PM*|12 23 31.0229191492 +16 54 09.195466662|     ~|10.90 |     ~| 9.7  |     ~|G5                   |  44|   0
2270|* 20 Vir                           |PM*|12 33 02.8788424373 +10 17 44.417650633|     ~| 7.241| 6.280|     ~|     ~|G8III                |  32|   0
2271|HD 108471                          |*  |12 27 42.0814411539 +08 36 37.239406935|     ~| 7.293| 6.342|     ~|     ~|G8III                |  40|   0
2272|HD 108317                          |Pe*|12 26 36.8316698542 +05 18 09.021203658|     ~|     ~|     ~| 7.7  |     ~|G2IVm-5              | 146|   0
2273|BD+02 2541                         |PM*|12 26 59.8614367203 +01 33 58.402203150|     ~|11.23 |     ~| 9.9  |     ~|G3                   |  44|   0
