C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:13:31

spstring~'A' & nbref>=50
------------------------

Number of objects : 2484

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
103 |* 14 Cep                           |SB*|22 02 04.5726568485 +58 00 01.308560227| 4.77 | 5.551| 5.542|     ~|     ~|O9IV(n)var+B1:V:      | 242|   0
104 |V* W Cep                           |s*r|22 36 27.5633747594 +58 25 33.953361477|     ~| 9.44 | 7.59 |     ~|     ~|M0Iaep                |  86|   0
105 |* del Cep                          |cC*|22 29 10.2650184 +58 24 54.713856      | 4.71 | 4.35 | 3.75 |     ~| 3.219|F5Iab:+B7-8           | 682|   0
106 |HD 213470                          |Em*|22 30 18.7033394914 +57 13 31.593381288| 7.45 | 7.183| 6.679|     ~|     ~|A3Ia                  |  75|   0
107 |V* MX Cep                          |a2*|22 52 41.9148863625 +58 48 23.283881252|     ~| 7.98 | 7.88 |     ~|     ~|A2p                   |  85|   0
108 |HD 224055                          |Em*|23 54 42.1154416117 +61 50 20.035652556| 7.67 | 7.846| 7.233|     ~|     ~|B3Ia                  |  85|   0
109 |HD 223960                          |sg*|23 53 49.9828073259 +60 51 12.242815365| 7.56 | 7.61 | 6.90 |     ~|     ~|A0.1Ia                |  86|   0
110 |V* TZ Cas                          |s*r|23 52 56.2369314440 +61 00 08.390398268|14.18 |11.75 | 9.18 |     ~|     ~|M3Iab                 |  79|   0
111 |V* PZ Cas                          |s*r|23 44 03.2794635453 +61 47 22.187155352|12.80 |11.48 | 8.90 | 6.08 | 3.90 |M3Ia                  | 188|   0
112 |HD 223386                          |PM*|23 48 53.9576553953 +59 58 44.171694257|     ~| 6.311| 6.324|     ~|     ~|A0V                   |  51|   0
113 |HD 225146                          |s*b|00 03 57.5026343253 +61 06 13.091743443| 8.32 | 8.96 | 8.60 |     ~|     ~|O9.7Iab               |  80|   0
114 |HD 5408                            |** |00 56 46.97166 +60 21 46.2192          |     ~| 5.500| 5.566|     ~|     ~|B7Vn+B9VHgMn+A1V      | 121|   1
115 |SH 2-188                           |PN |01 30 33.1777443823 +58 24 50.324516367|     ~|17.424|17.447|17.398|17.376|DAO.6                 |  92|   1
116 |* phi Cas                          |s*y|01 20 04.9146181556 +58 13 53.812633124| 6.15 | 5.66 | 4.98 | 4.34 | 3.78 |F0Ia                  | 255|   0
117 |HD 10543                           |Al*|01 44 18.0073600835 +57 32 11.626145357| 6.390|     ~|     ~|     ~|     ~|A3V                   |  68|   0
118 |V* KK Per                          |s*r|02 10 15.7841643885 +56 33 32.663658069|12.32 | 9.96 | 7.74 | 5.86 | 4.29 |M2Iab-Ib              |  99|   0
119 |V* SU Per                          |s*r|02 22 06.8945607706 +56 36 14.896842798|13.86 |11.57 | 9.40 |     ~|     ~|M3-M4Iab              | 132|   0
120 |HD 14322                           |*  |02 20 42.9185937141 +55 54 32.681443043| 6.87 | 7.16 | 6.85 | 6.44 | 6.22 |B8Iab                 |  86|   0
121 |V* DM Per                          |Al*|02 25 58.0077659596 +56 06 10.011871690|     ~| 8.03 | 7.95 |     ~|     ~|B5V+A:                | 115|   1
122 |* i Per                            |sg*|02 22 21.4348174923 +55 50 44.351770395| 5.43 | 5.54 | 5.17 | 4.79 | 4.47 |A1Ia                  | 184|   0
123 |HD 13854                           |s*b|02 16 51.7161542593 +57 03 18.880915822| 6.10 | 6.76 | 6.48 | 6.14 | 5.95 |B1Iab                 | 204|   0
124 |* tau Per                          |Al*|02 54 15.4684102508 +52 45 44.885218477| 5.17 | 4.71 | 3.96 | 3.33 | 2.89 |G8III+A7V             | 156|   0
125 |HD 20391                           |*  |03 18 44.7699300640 +49 46 11.835701661|     ~| 8.06 | 7.95 |     ~|     ~|A2V                   |  53|   0
126 |HD 20931                           |*  |03 24 30.0366372865 +49 08 23.656632699|     ~| 7.95 | 7.88 |     ~|     ~|A1V                   |  50|   0
127 |HD 21481                           |Em*|03 29 49.9910035558 +47 58 36.546620098|     ~| 7.77 | 7.66 |     ~|     ~|A0Vn                  |  54|   0
