C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:13:31

spstring~'A' & nbref>=50
------------------------

Number of objects : 2484

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
1154|SN 1999dq                          |SN*|02 33 59.68 +20 58 30.4                |     ~|14.68 |     ~|     ~|     ~|SNIapec               |  91|   1
1155|* mu. Ari                          |** |02 42 21.9364821570 +20 00 41.268974046| 5.640| 5.710| 5.740|     ~|     ~|A0V                   |  86|   0
1156|* nu. Ari                          |*  |02 38 48.9924921669 +21 57 41.047273075|     ~| 5.608| 5.451|     ~|     ~|A7V                   |  64|   0
1157|PN A66 74                          |PN |21 16 52.3415118702 +24 08 51.096477079|     ~|16.91 |17.11 |     ~|     ~|DAO                   |  65|   1
1158|HD 205011                          |SB*|21 31 50.1440984214 +23 50 42.551089035|     ~| 7.50 | 6.42 |     ~|     ~|G9+IIIaBa1+           |  67|   0
1159|HD 205087                          |*  |21 32 27.0138596351 +23 23 40.505448087|     ~| 6.611| 6.680|     ~|     ~|A0VpSiSr              |  79|   0
1160|HD 205541                          |** |21 35 27.0373080 +24 27 07.776399      | 6.450| 6.350| 6.220|     ~|     ~|A4V                   |  79|   0
1161|* omi Peg                          |*  |22 41 45.3989328992 +29 18 27.554214525| 4.77 | 4.78 | 4.79 | 4.75 | 4.77 |A1IV                  | 266|   0
1162|EGGR 283                           |WD*|22 51 23.0233217603 +29 39 44.488016211|     ~|16.22 |     ~|15.1  |     ~|DA8.1                 |  70|   0
1163|V* V354 Peg                        |a2*|23 31 43.0295640677 +28 24 12.554167353|     ~| 6.418| 6.388|     ~|     ~|A0VpSrCrSiHg          |  65|   0
1164|* 79 Peg                           |PM*|23 49 39.3946855562 +28 50 32.598826403| 6.270| 6.140| 5.960|     ~|     ~|A2m                   |  55|   0
1165|V* SW And                          |RR*|00 23 43.0897765461 +29 24 03.632673465| 9.53 | 9.34 | 9.15 |     ~|     ~|A7IIImF0              | 236|   0
1166|* 28 And                           |dS*|00 30 07.3626822971 +29 45 05.592507696|     ~| 5.467| 5.214|     ~|     ~|A7III                 | 200|   0
1167|SN 1998de                          |SN*|00 48 06.88 +27 37 28.5                |     ~|17.56 |     ~|     ~|     ~|SNIapec               |  78|   1
1168|* ups Psc                          |*  |01 19 27.9928886 +27 15 50.615529      |     ~| 4.789| 4.748|     ~|     ~|A3V                   |  84|   0
1169|LAWD 11                            |WD*|02 08 47.2189196595 +25 14 09.968521602|     ~|13.18 |     ~|13.1  |     ~|DA2.4                 |  56|   0
1170|HD 15385                           |Pe*|02 29 13.6821613895 +23 28 08.489526244| 6.480| 6.350| 6.190|     ~|     ~|kA7IVmF2III/IVSr      |  54|   0
1171|HD 18484                           |*  |02 58 53.07176 +21 37 03.8426          |     ~| 6.94 | 6.73 |     ~|     ~|A3                    |  93|   1
1172|* eps Ari A                        |*  |02 59 12.7237306183 +21 20 25.541697255|     ~| 5.21 | 5.16 |     ~|     ~|A2IV                  |  72|   0
1173|* eps Ari B                        |*  |02 59 12.678278 +21 20 24.26202        |     ~| 5.61 | 5.57 |     ~|     ~|A3IVs                 |  76|   0
1174|* 35 Vul                           |*  |21 27 40.0571342311 +27 36 30.932065572|     ~| 5.421| 5.379|     ~|     ~|A1VmA3                |  57|   0
1175|V* GX Peg                          |dS*|22 31 34.3515802440 +29 32 33.931915225| 6.630| 6.520| 6.330|     ~|     ~|A5m                   |  91|   0
1176|LAWD 93                            |WD*|23 43 50.7211092775 +32 32 46.726422307|     ~|13.06 |12.94 |13.12 |     ~|DA3.8                 | 132|   0
1177|GD 2                               |WD*|00 07 32.2596836786 +33 17 27.606663558|12.321|13.482|13.791|13.940|14.119|DA1.0                 |  89|   0
1178|HD 1439                            |PM*|00 18 38.2577501436 +31 31 02.029366028|     ~| 5.851| 5.875|     ~|     ~|A0IV                  |  57|   0
1179|V* GR And                          |a2*|00 28 28.5693545697 +32 26 15.879131266|     ~| 6.99 | 6.91 |     ~|     ~|A5VpSiSrCr            | 129|   0
1180|SN 1998ef                          |SN*|01 03 26.87 +32 14 12.4                |     ~|15.21 |     ~|     ~|     ~|SNIa                  |  56|   1
1181|SN 2000dk                          |SN*|01 07 23.52 +32 24 23.2                |     ~|15.63 |15.2  |     ~|     ~|SNIa                  |  85|   1
1182|V* V Tri                           |bL*|01 31 47.1029406042 +30 22 01.689800000|     ~|11.32 |10.96 |     ~|     ~|A3                    |  61|   0
1183|[HS53] A                           |s*y|01 32 32.8024103986 +30 30 25.014155970|20.1  |19.9  |19.1  |18.6  |17.7  |F8Ia                  |  51|   0
1184|V* X Tri                           |Al*|02 00 33.7370769677 +27 53 19.205078722|     ~| 9.30 | 9.00 | 8.50 |     ~|A7V                   | 213|   0
1185|* 10 Tri                           |*  |02 18 56.9934591745 +28 38 33.635090935|     ~| 5.307| 5.291|     ~|     ~|A2V                   |  64|   0
1186|* 14 Peg                           |SB*|21 49 50.6940168762 +30 10 27.156043293|     ~| 5.070| 5.069|     ~|     ~|A1Vs                  |  74|   0
1187|V* OU And                          |Ro*|23 49 40.9598068715 +36 25 31.008222497|     ~| 6.69 | 5.90 |     ~|     ~|G1IIICaIIem           | 126|   0
1188|SN 1999ej                          |SN*|01 22 57.38 +33 27 58.0                |     ~|15.65 |     ~|     ~|     ~|SNIa                  |  53|   1
1189|SN 2005eu                          |SN*|02 27 43.30 +28 10 37.8                |     ~|     ~|17.6  |     ~|     ~|SNIa                  |  50|   2
1190|* zet Cyg                          |SB*|21 12 56.1859347 +30 13 36.895667      | 4.96 | 4.20 | 3.21 | 2.52 | 2.04 |G8+III-IIIaBa0.5      | 323|   0
1191|HD 202314                          |*  |21 14 10.2843113939 +29 54 03.458133268|     ~| 7.271| 6.166|     ~|     ~|G6Ib-IIaCa1Ba0.5      |  57|   0
1192|* tet And                          |** |00 17 05.49885 +38 40 53.8902          | 4.72 | 4.67 | 4.61 | 4.53 | 4.52 |A2V                   | 166|   0
1193|* sig And                          |** |00 18 19.6574549 +36 47 06.810654      | 4.64 | 4.57 | 4.52 | 4.44 | 4.44 |A2V                   | 135|   0
1194|* mu. And                          |PM*|00 56 45.2121113 +38 29 57.638044      | 4.14 | 3.99 | 3.87 | 3.72 | 3.64 |A6V                   | 206|   0
1195|* bet And                          |PM*|01 09 43.92388 +35 37 14.0075          | 5.58 | 3.62 | 2.05 | 0.81 |-0.19 |M0+IIIa               | 535|   0
1196|* eps Tri                          |V* |02 02 57.9579149437 +33 17 02.906807436|     ~| 5.549| 5.516|     ~| 5.43 |A2V                   |  55|   0
1197|* gam Tri                          |PM*|02 17 18.8670335 +33 50 49.895049      |     ~| 4.03 | 4.00 |     ~| 4.05 |A1Vnn                 | 184|   0
1198|* 7 Tri                            |*  |02 15 56.2880251756 +33 21 32.020541944|     ~| 5.239| 5.249|     ~|     ~|A0V                   |  50|   0
1199|V* V1073 Cyg                       |WU*|21 25 00.3572317438 +33 41 14.937113872|     ~| 8.78 | 8.38 |     ~|     ~|A1VpSi:               | 127|   0
1200|V* DK Cyg                          |EB*|21 35 02.6694770300 +34 35 45.398785963|     ~|10.98 |10.56 |     ~|     ~|A6V                   | 128|   0
1201|V* V362 Lac                        |a2*|22 34 07.2786303948 +39 20 07.933825734|     ~| 8.64 | 8.68 |     ~|     ~|Ap                    |  52|   1
1202|V* V364 Lac                        |Al*|22 52 14.8100601555 +38 44 44.632135645|     ~| 8.54 | 8.36 |     ~|     ~|A4m+A3m               |  81|   0
1203|* 15 And                           |dS*|23 34 37.5365247800 +40 14 11.179472901|     ~| 5.652| 5.563| 6.91 |     ~|A1Va                  | 126|   0
1204|V* XX And                          |RR*|01 17 27.4143098635 +38 57 02.048480248|     ~|11.00 |10.62 |     ~|     ~|A2                    | 117|   0
1205|* 47 And                           |SB*|01 23 40.6168069184 +37 42 53.808354867|     ~| 5.865| 5.587|     ~|     ~|A1m                   |  96|   0
1206|* bet Tri                          |SB*|02 09 32.62712 +34 59 14.2694          | 3.26 | 3.14 | 3.00 | 2.86 | 2.78 |A5III                 | 207|   0
1207|* 21 Per                           |a2*|02 57 17.2822815280 +31 56 03.197604355|     ~| 5.081| 5.093|     ~|     ~|A2VspSiEu             | 183|   0
1208|V* V836 Cyg                        |bL*|21 21 23.5923138413 +35 44 10.606821014|     ~| 8.82 | 8.76 |     ~|     ~|A0V                   |  71|   0
1209|V* V1341 Cyg                       |LXB|21 44 41.1544523872 +38 19 17.065856122|15.00 |15.13 |14.68 |15.00 |     ~|A9III                 |1074|   1
1210|EM* LkHA 233                       |Ae*|22 34 40.9923134958 +40 40 04.251892858|     ~|14.5  |     ~|     ~|     ~|A7Ve                  | 141|   0
1211|* 2 And                            |** |23 02 36.38176 +42 45 28.0628          |     ~|     ~|     ~|     ~|     ~|A1V                   | 158|   0
1212|* 9 And                            |bL*|23 18 23.3220221496 +41 46 25.203107244| 6.340| 6.180| 5.970|     ~|     ~|A7m                   | 103|   0
1213|HD 2421                            |SB*|00 28 13.6587644888 +44 23 40.108531657|     ~| 5.207| 5.173|     ~|     ~|A2Vs                  |  77|   0
1214|V* V428 And                        |LP*|00 36 46.4403023875 +44 29 18.916873787|     ~| 6.727| 5.129|     ~|     ~|K6IIIa                |  96|   0
1215|* 39 And                           |*  |01 02 54.2535609338 +41 20 42.767269460|     ~| 6.104| 5.932|     ~|     ~|kA3hA7VmA9            |  66|   0
1216|V* V529 And                        |gD*|01 27 26.6726118342 +41 06 04.183109728|     ~| 6.711| 6.425|     ~|     ~|A7m                   |  69|   0
1217|* 58 And                           |PM*|02 08 29.2599863 +37 51 32.686118      | 5.08 | 4.94 | 4.82 | 4.68 | 4.61 |A5IV-V                |  86|   0
1218|EGGR 168                           |WD*|02 11 20.8420180006 +39 55 21.515685472|     ~|14.80 |14.50 |14.4  |     ~|DAZ6.9                |  98|   0
1219|HD 15082                           |dS*|02 26 51.0582746497 +37 33 01.737746137|     ~| 8.41 | 8.14 |     ~|     ~|kA5hA8mF4             | 139|   1
1220|* nu. Cnc                          |SB*|09 02 44.2662358862 +24 27 10.417540108|     ~| 5.404| 5.447|     ~|     ~|A0III                 | 186|   0
1221|HD 78661                           |** |09 09 46.4238931507 +11 33 51.758642257| 6.720| 6.810| 6.480|     ~|     ~|F2VkA7mA7             |  50|   0
1222|V* DH Hya                          |RR*|09 00 14.8275277853 -09 46 44.293312196|12.995|12.997|12.12 |     ~|     ~|kA0hF0                |  54|   0
1223|V* RX Hya                          |Al*|09 05 41.1657625108 -08 15 39.727879187|     ~| 9.78 | 9.56 |     ~|     ~|A5III                 |  91|   0
1224|* 38 Lyn                           |PM*|09 18 50.64384 +36 48 09.3331          |     ~| 3.96 | 3.92 |     ~| 3.81 |A1V                   | 133|   0
1225|HD 80024                           |** |09 18 25.90900 +35 21 50.6727          | 6.240| 6.110| 5.940| 7.01 |     ~|A8V                   |  50|   0
1226|HD 79108                           |PM*|09 12 12.8805445279 +03 52 01.126391034|     ~| 6.127| 6.131|     ~|     ~|A0V                   |  69|   0
1227|* tet Hya                          |SB*|09 14 21.8663945301 +02 18 51.638194950|     ~| 3.82 |     ~| 3.9  |     ~|B9.5V+DA1.6           | 200|   0
1228|* 21 Hya                           |Al*|09 12 26.0495334429 -07 06 35.289551825|     ~| 6.328| 6.098|     ~|     ~|A0mA5/7-F0            | 107|   0
1229|SN 2005am                          |SN*|09 16 12.47 -16 18 16.0                |     ~|     ~|17.5  |     ~|     ~|SNIa                  |  98|   1
1230|V* LX Hya                          |a2*|09 18 25.0296735695 -20 22 16.252280131|     ~| 8.08 | 7.77 |     ~|     ~|ApSr(Eu)              |  62|   0
1231|* tet Pyx                          |*  |09 21 29.5906789101 -25 57 55.576659259| 8.36 | 6.33 | 4.72 | 3.32 | 2.24 |M0.5IIIBa0.5          |  62|   0
1232|V* RY LMi                          |WD*|09 24 15.2484202569 +35 16 51.400826911|     ~|15.72 |     ~|15.99 |     ~|DA4                   | 248|   0
1233|BD+09 2190                         |PM*|09 29 15.5616421382 +08 38 00.469417390|     ~|11.54 |     ~|10.8  |     ~|sdA5                  | 116|   0
1234|HD 82543                           |** |09 32 41.3947286182 +01 51 50.857645425|     ~| 6.717| 6.120|     ~|     ~|K0III+A/F             |  68|   0
1235|* tau02 Hya                        |*  |09 31 58.9252120278 -01 11 04.787177496|     ~| 4.644| 4.548|     ~|     ~|A2V                   |  60|   0
1236|* alf Hya                          |*  |09 27 35.24270 -08 39 30.9583          | 5.14 | 3.42 | 1.97 | 0.93 | 0.16 |K3IIIa                | 406|   0
1237|V* KU Hya                          |a2*|09 22 50.8563427 -09 50 19.659199      | 6.86 | 6.75 | 6.53 |     ~|     ~|ApEuCrSr              | 160|   0
1238|* 29 Hya                           |** |09 27 14.64092 -09 13 25.3595          |     ~|     ~|     ~| 7.58 |     ~|A0V                   |  50|   0
1239|* 11 LMi                           |RS*|09 35 39.5018053382 +35 48 36.484070234| 6.560| 6.110| 5.340| 4.79 | 4.42 |G8Va                  | 346|   0
1240|* f Leo                            |PM*|09 43 33.2599600830 +29 58 28.119728940|     ~| 5.735| 5.621|     ~|     ~|A2IV                  |  53|   0
1241|V* Y Leo                           |Al*|09 36 51.8058091054 +26 13 57.643190421|     ~|10.31 |10.07 |     ~|     ~|A3                    | 121|   0
1242|SN 2005M                           |SN*|09 37 32.76 +23 12 10.0                |     ~|     ~|18.8  |     ~|     ~|SNIa                  |  62|   1
1243|* omi Leo                          |SB*|09 41 09.0330479 +09 53 32.310183      | 4.22 | 4.01 | 3.52 | 3.11 | 2.88 |F8-G0III+A7m          | 144|   0
1244|V* AV Hya                          |bL*|09 35 02.5451034648 +05 19 24.035402072|     ~|11.31 |10.96 |10.83 |     ~|A1                    |  57|   0
1245|SN 1995D                           |SN*|09 40 54.753 +05 08 26.16              |     ~|13.42 |13.22 |     ~|     ~|SNIa                  | 138|   1
1246|Ross 889                           |Pe*|09 40 43.2053386236 +01 00 29.514872822|     ~|     ~|     ~|10.39 |     ~|sdA4                  | 152|   0
1247|PN A66 33                          |PN |09 39 09.1416894235 -02 48 30.487554710|     ~|15.38 |15.54 |     ~|     ~|DAO                   | 136|   0
1248|* tet Ant                          |** |09 44 12.0951165 -27 46 10.101055      | 5.65 | 5.29 | 4.79 | 4.32 | 4.00 |A7V+G8III             |  83|   0
1249|V* AK Ant                          |dS*|09 34 56.5519422925 -28 52 39.330592954|     ~| 9.10 | 8.79 |     ~|     ~|F1VkA3mA3_lB?         |  52|   0
1250|V* T LMi                           |Al*|09 48 28.4654034135 +33 17 19.585403886|     ~|11.09 |11.06 |10.89 |     ~|A0                    |  72|   0
1251|SN 1995al                          |SN*|09 50 55.97 +33 33 09.4                |     ~|13.36 |13.22 |     ~|     ~|SNIa                  |  89|   1
1252|* mu. Leo                          |PM*|09 52 45.8165435 +26 00 25.031882      | 6.50 | 5.10 | 3.88 | 2.97 | 2.39 |K2IIIbCN1Ca1          | 404|   0
1253|* g Leo                            |PM*|09 51 53.0048968864 +24 23 43.110214973|     ~|     ~|     ~| 5.2  |     ~|A5IV                  |  59|   0
1254|PG 0945+246                        |WD*|09 48 46.6403501651 +24 21 25.879142400|     ~|14.14 |14.25 |14.50 |14.47 |DA+DXP                |  50|   0
1255|* eps Leo                          |V* |09 45 51.0733004 +23 46 27.320834      | 4.23 | 3.79 | 2.98 | 2.36 | 1.93 |G1IIIa                | 322|   0
1256|* 20 Leo                           |dS*|09 49 50.0942643 +21 10 45.919205      |     ~| 6.330| 6.077|     ~|     ~|A7IVn                 | 120|   0
1257|SN 2003W                           |SN*|09 46 49.48 +16 02 37.6                |     ~|     ~|17.3  |     ~|     ~|SNIa                  |  57|   1
1258|EGB 6                              |PN |09 52 58.9867703345 +13 44 34.624573201|     ~|15.692|15.999|16.137|16.300|DAO.5                 |  83|   0
1259|* 19 Leo                           |** |09 47 25.9647340 +11 34 05.397343      |     ~| 6.696| 6.445|     ~|     ~|A7Vn                  |  76|   0
1260|* 7 Sex                            |PM*|09 52 12.1642737011 +02 27 14.864758128| 5.90 | 5.98 |     ~| 6.0  |     ~|A0III/IV              | 110|   0
1261|V* T Sex                           |RR*|09 53 28.4001398465 +02 03 26.346766521|10.22 |10.04 | 9.82 |     ~|     ~|A1V                   | 137|   0
1262|* 6 Sex                            |*  |09 51 14.0311696181 -04 14 36.048663938|     ~| 6.177| 6.016|     ~|     ~|A4V                   |  53|   0
1263|* gam Sex                          |** |09 52 30.43727 -08 06 18.1269          |     ~|     ~|     ~| 6.46 |     ~|A0/1V                 | 107|   0
1264|V* X LMi                           |RR*|10 06 06.7278147829 +39 21 28.471006828|     ~|12.46 |12.30 |     ~|     ~|kA5hF7                |  51|   0
1265|* 21 LMi                           |dS*|10 07 25.7629578 +35 14 40.896470      | 4.74 | 4.67 | 4.49 | 4.31 | 4.24 |A7V(n)                | 213|   0
1266|* 20 LMi                           |PM*|10 01 00.6567799273 +31 55 25.216848499|     ~| 6.02 |     ~| 4.9  |     ~|G3VaHdel1             | 351|   0
1267|EGGR 69                            |WD*|09 57 48.3484344551 +24 32 55.540903624|     ~|15.34 |15.09 |14.4  |     ~|DA5.8                 |  56|   0
1268|V* XZ Leo                          |WU*|10 02 34.1961100316 +17 02 47.142539645|     ~|10.79 |10.37 |     ~|     ~|A5                    |  91|   0
1269|* eta Leo                          |*  |10 07 19.9518606 +16 45 45.580270      | 3.17 | 3.39 | 3.41 | 3.32 | 3.35 |A0Ib                  | 318|   0
1270|HD 86986                           |HB*|10 02 29.5663012359 +14 33 25.190707124| 8.27 | 8.11 |     ~| 7.9  |     ~|A1V                   | 165|   0
1271|SN 1993ag                          |SN*|10 03 35.00 -35 27 47.6                |     ~|18.30 |17.78 |     ~|     ~|SNIa                  |  64|   1
1272|NGC 3132                           |PN |10 07 01.7655812249 -40 26 11.138949314|     ~|10.14 |10.01 |     ~|     ~|A2V                   | 372|   1
1273|* 23 LMi                           |PM*|10 16 14.4299725284 +29 18 37.709186350|     ~| 5.500| 5.488|     ~|     ~|A0Vn                  |  61|   0
1274|HD 89239                           |*  |10 18 10.5141626855 +27 24 55.729320746|     ~| 6.498| 6.523|     ~|     ~|A0V                   |  63|   0
1275|* zet Leo                          |V* |10 16 41.4159679 +23 25 02.322080      | 3.89 | 3.72 | 3.41 | 3.09 | 2.91 |F0IIIa                | 217|   0
1276|BD+21 2156                         |** |10 09 19.6166559 +20 19 56.461685      |     ~| 7.237| 6.703|     ~|     ~|G8III+A2m             |  87|   0
1277|SN 2002bo                          |SN*|10 18 06.51 +21 49 41.7                |     ~|13.95 |     ~|     ~|     ~|SNIa                  | 279|   1
1278|HD 88987                           |** |10 16 16.04704 +17 44 25.2343          | 6.920| 6.890| 6.590|     ~|     ~|A9IV                  |  69|   0
1279|PG 1015+161                        |WD*|10 18 03.8271425956 +15 51 58.565078247|     ~|15.70 |     ~|15.2  |     ~|DA2.5                 |  62|   0
1280|SN 2003cg                          |SN*|10 14 15.97 +03 28 02.5                |     ~|15.94 |     ~|     ~|     ~|SNIa                  | 124|   1
1281|PG 1015+014                        |WD*|10 18 05.0426551840 +01 11 23.527722053|     ~|16.33 |16.3  |     ~|     ~|DAH                   |  62|   0
1282|* alf Sex                          |*  |10 07 56.2821310191 -00 22 18.023516548|     ~| 4.45 | 4.49 |     ~|     ~|A0III                 |  88|   0
1283|RX J1016.4-0520                    |WD*|10 16 28.6043781785 -05 20 35.222043934|     ~|     ~|14.1  |     ~|     ~|DAO+Me                | 102|   0
1284|* 17 Sex                           |Ae*|10 10 07.5395826 -08 24 29.395489      |     ~| 5.911| 5.901|     ~|     ~|A0V                   |  61|   0
1285|V* WY Ant                          |RR*|10 16 04.9458687043 -29 43 42.415589871|     ~|11.03 |10.78 |     ~|     ~|A8.7                  | 110|   0
1286|* 27 LMi                           |*  |10 23 06.3288782340 +33 54 29.317485572| 6.140| 6.040| 5.900|     ~|     ~|A5IVn                 |  52|   0
1287|V* V LMi                           |RR*|10 25 25.5878401160 +28 47 07.707943334|     ~|12.23 |11.98 |     ~|     ~|A8                    |  71|   0
1288|SN 1991S                           |SN*|10 29 27.7 +22 00 43                   |     ~|17.78 |17.69 |     ~|     ~|SNIa                  |  52|   1
1289|V* UZ Sex                          |WD*|10 28 34.8776752831 -00 00 29.394108221|     ~|13.89 |     ~|13.9  |     ~|DA3+dM                |  75|   0
1290|* 25 Sex                           |a2*|10 23 26.4782979577 -04 04 26.516936464| 5.70 | 5.87 | 5.97 |     ~|     ~|ApSiCr                | 120|   0
1291|V* RW Sex                          |No*|10 19 56.6224113828 -08 41 56.104268706|     ~|10.65 |10.7  |10.633|10.598|DAe                   | 179|   1
1292|HD 89948                           |SB*|10 22 21.8602764847 -29 33 21.560135988| 8.12 | 8.11 | 7.55 |     ~|     ~|G2IIIBa1              |  70|   0
1293|HD 90132                           |PM*|10 23 29.2960641747 -38 00 35.413625140|     ~| 5.564| 5.329|     ~|     ~|A8V                   |  62|   0
1294|HD 91312                           |SB*|10 33 13.8923916117 +40 25 31.944137794|     ~| 4.921| 4.715|     ~|     ~|A7IV                  |  87|   0
1295|* 33 LMi                           |*  |10 31 51.3746360193 +32 22 46.412107377|     ~| 6.001| 5.905|     ~|     ~|A0Va-                 |  63|   0
1296|* 37 LMi                           |*  |10 38 43.2126896 +31 58 34.460669      |     ~| 5.494| 4.677|     ~|     ~|G2.5IIIa              | 144|   0
1297|Ton 527                            |WD*|10 33 49.1966057344 +23 09 16.255124239|     ~|15.3  |15.73 |     ~|     ~|DAP2                  | 101|   0
1298|* rho Leo                          |s*b|10 32 48.6716770 +09 18 23.709445      | 2.780| 3.720| 3.870| 3.90 | 4.06 |B1Iab                 | 511|   0
1299|* 49 Leo                           |Al*|10 35 02.15893 +08 39 01.5434          |     ~| 5.72 | 5.67 |     ~|     ~|A2V                   | 117|   0
1300|SN 2005ki                          |SN*|10 40 28.355 +09 10 57.14              |     ~|     ~|18.0  |     ~|     ~|SNIa                  |  69|   1
1301|EGGR 70                            |WD*|10 33 42.7629684770 -11 41 38.339441758|11.851|12.847|13.012|13.138|13.278|DA1.9                 | 105|   0
1302|SN 1993B                           |SN*|10 34 51.38 -34 26 30.0                |     ~|18.81 |18.39 |     ~|     ~|SNIa                  |  52|   1
1303|HD 93457                           |*  |10 48 02.54856 +41 06 35.8479          |     ~| 7.29 | 7.07 |     ~|     ~|A3                    |  52|   1
1304|* 42 LMi                           |*  |10 45 51.8945751899 +30 40 56.314062711|     ~| 5.299| 5.352|     ~|     ~|A1Vn                  |  50|   0
1305|* 40 LMi                           |PM*|10 43 01.8814307343 +26 19 32.030256159|     ~| 5.682| 5.506|     ~|     ~|A4Vn                  |  62|   0
1306|* 41 LMi                           |PM*|10 43 24.9567145 +23 11 18.249875      |     ~| 5.108| 5.070|     ~|     ~|A3Vn                  |  59|   0
1307|SN 1994ae                          |SN*|10 47 01.94 +17 16 30.8                |     ~|13.20 |12.99 |     ~|     ~|SNIa                  | 152|   1
1308|SN 1986A                           |SN*|10 46 36.54 +13 45 00.6                |     ~|14.4  |14.2  |     ~|     ~|SNIa                  |  56|   1
1309|SN 1967C                           |SN*|10 48 25.1 +12 32 43                   |     ~|13.13 |13.22 |     ~|     ~|SNIa                  |  64|   1
1310|SN 1998bu                          |SN*|10 46 46.01 +11 50 07.5                |     ~|12.11 |     ~|     ~|     ~|SNIa                  | 296|   1
1311|* l Leo                            |*  |10 49 15.4301076600 +10 32 42.725764406|     ~| 5.338| 5.312|     ~|     ~|A2V                   |  70|   0
1312|* 41 Sex                           |SB*|10 50 18.0566575217 -08 53 51.950564361|     ~| 5.949| 5.791|     ~|     ~|A2/3III               |  71|   0
1313|* ome UMa                          |SB*|10 53 58.7425934970 +43 11 23.845298512|     ~| 4.633| 4.664|     ~|     ~|A1VsSi:               |  94|   0
1314|* 54 Leo A                         |PM*|10 55 36.8026567790 +24 44 59.048399623|     ~| 4.478| 4.477| 6.04 |     ~|A1V                   |  63|   0
1315|* b Leo                            |Pe*|11 02 19.7757690 +20 10 47.426510      |     ~| 4.452| 4.398|     ~|     ~|kA1VmA3V              | 169|   0
1316|LAWD 34                            |WD*|10 57 35.1342534985 -07 31 23.176742952|14.078|14.626|14.338|14.132|13.921|DA5n                  |  71|   0
1317|SN 1999aw                          |SN*|11 01 36.37 -06 06 31.6                |     ~|16.88 |     ~|     ~|     ~|SNIa                  |  67|   1
1318|V* KQ Vel                          |a2*|10 55 01.0018015910 -42 15 04.062281118| 5.78 | 6.03 | 6.11 |     ~|     ~|Ap(SiCr)              | 119|   0
1319|* i Vel                            |*  |11 00 09.2642360 -42 13 33.092396      | 4.62 | 4.50 | 4.39 | 4.26 | 4.19 |A3V                   |  80|   0
1320|* 51 UMa                           |PM*|11 04 31.2214215951 +38 14 28.919071134|     ~| 6.18 | 6.02 | 7.39 | 5.86 |A3III-IV              |  68|   0
1321|Ton 1323                           |WD*|11 04 32.5722911355 +36 10 48.873727889|     ~|14.76 |14.49 |     ~|     ~|DA3.7                 |  60|   0
1322|V* ST LMi                          |AM*|11 05 39.7662126421 +25 06 28.744817170|     ~|15.10 |     ~|     ~|     ~|DAH+M                 | 210|   0
1323|* 64 Leo                           |SB*|11 07 39.7067218170 +23 19 25.551111380|     ~| 6.651| 6.468|     ~|     ~|A5m                   |  51|   0
1324|* del Leo                          |PM*|11 14 06.50142 +20 31 25.3853          | 2.79 | 2.68 | 2.53 | 2.44 | 2.41 |A5IV(n)               | 265|   0
1325|* tet Leo                          |PM*|11 14 14.4044630 +15 25 46.454086      | 3.40 | 3.33 | 3.35 | 3.32 | 3.34 |A2IV                  | 309|   0
1326|* p05 Leo                          |*  |11 13 45.5531733923 -00 04 10.208991760|     ~| 5.374| 5.404|     ~|     ~|A0V                   |  69|   0
1327|EGGR 76                            |WD*|11 07 59.9504082308 -05 09 26.033453412|12.397|13.093|13.057|13.141|13.215|DA3                   | 141|   0
1328|V* TV Leo                          |RR*|11 11 21.9329779882 -05 53 31.443645863|     ~|     ~|12.35 |     ~|     ~|A1                    |  75|   0
1329|* psi Crt                          |** |11 12 30.37188 -18 29 59.4995          |     ~| 6.105| 6.105|     ~|     ~|A0V                   |  61|   0
1330|* bet Crt                          |SB*|11 11 39.4817199946 -22 49 33.045519470|     ~| 4.475| 4.449|     ~|     ~|A1V                   | 147|   0
1331|V* TT Hya                          |Al*|11 13 12.4975968306 -26 27 54.251048400|     ~| 7.43 | 7.31 |     ~|     ~|F0IV:kA2mA3:_sh       | 173|   0
1332|* 46 Cen                           |a2*|11 07 16.6893918772 -42 38 19.238009758|     ~| 5.25 | 5.24 |     ~|     ~|ApSrCrEu              |  62|   0
1333|* 56 UMa                           |SB*|11 22 49.5788610769 +43 28 57.718634912| 6.86 | 6.04 | 5.03 | 4.30 | 3.81 |G8IIIa                | 136|   0
1334|* 55 UMa                           |SB*|11 19 07.8903037922 +38 11 08.045730373|     ~| 4.90 | 4.80 |     ~|     ~|A2V                   | 125|   0
1335|Ross 627                           |WD*|11 24 12.886176 +21 21 35.58204        |     ~|     ~|     ~|14.28 |     ~|DA6.8                 | 111|   0
1336|SN 1989B                           |SN*|11 20 13.93 +13 00 18.9                |     ~|12.25 |     ~|     ~|     ~|SNIa                  | 342|   1
1337|V* AQ Leo                          |RR*|11 23 55.2750743728 +10 18 59.080007685|     ~|     ~|     ~|     ~|     ~|A1                    |  69|   0
1338|GD 133                             |WD*|11 19 12.3989572558 +02 20 33.046829334|     ~|14.76 |14.57 |14.8  |     ~|DA4.0                 |  73|   0
