C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
58  |Schulte 16                         |*  |20 32 38.5694959595 +41 25 13.776005626|12.05 |11.88 |11.12 |     ~|     ~|O7.5IV(n)                          |  45|   0
59  |Schulte 25                         |*  |20 33 25.564 +41 33 27.00              |13.52 |13.15 |11.58 |     ~|     ~|O8Vz                               |  25|   0
60  |Schulte 8C                         |*  |20 33 17.9821559015 +41 18 31.192311433|12.2  |11.43 |10.19 |     ~|     ~|O4.5III(fc)                        |  74|   0
61  |Schulte 9                          |s*b|20 33 10.7366753544 +41 15 08.222187463|13.38 |12.77 |10.96 |     ~|     ~|O4.5If                             | 207|   0
62  |MR 112                             |WR*|20 35 47.0859278605 +41 22 44.703520146|     ~|     ~|12.64 |12.16 |     ~|WC5-6e+O8                          | 144|   0
63  |BD+42 3835                         |*  |20 42 06.8618952994 +43 11 03.721672044| 9.92 |10.03 | 9.25 |     ~|     ~|O9.5II-III                         |  23|   0
64  |OH 83.4 -0.9                       |OH*|20 50 58.6196470462 +42 48 11.447926086|     ~|     ~|     ~|     ~|     ~|O-rich                             |  42|   1
65  |[SL2008c] 8                        |*  |20 55 51.2553069671 +43 52 24.462712899|     ~|     ~|13.24 |     ~|     ~|O3.5III(f*)+O8                     |  16|   1
66  |HD 199579                          |SB*|20 56 34.7781372461 +44 55 29.000769871| 5.16 | 6.01 | 5.96 |     ~|     ~|O6.5V((f))z                        | 340|   0
67  |EM* LkHA 373                       |Y*O|20 53 39.8973567968 +45 12 28.015516084|     ~|11.8  |11.1  |     ~|     ~|OBe                                |  16|   0
68  |LS III +46 50                      |*  |21 12 00.4536602522 +46 41 51.352602377|11.07 |11.41 |10.69 |     ~|     ~|O9.2II                             |  12|   0
