C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
1502|RMC 135                            |WR*|05 38 33.62 -69 04 50.4                |     ~|12.63 |13.48 |     ~|     ~|WN7h+OB                            |  55|   0
1503|RMC 139                            |WR*|05 38 42.3548071421 -69 04 58.201053806|     ~|12.04 |11.94 |     ~|     ~|O6.5Iafc+O6Iaf                     |  86|   0
1504|HD 269923                          |*  |05 38 51.0855433152 -69 29 52.894729515|     ~|10.50 |10.30 |     ~|     ~|OB                                 |  33|   0
1505|HD 269927                          |** |05 38 58.80 -69 29 23.0                |     ~|     ~|     ~|     ~|     ~|B0I+O7If+WN9                       |  27|   0
1506|HD 269936                          |*  |05 39 29.0003 -69 27 11.992            |     ~|11.21 |11.23 |     ~|     ~|OB                                 |  32|   0
1507|RMC 149                            |*  |05 39 58.7451762905 -69 44 04.070717721|11.645|12.442|12.517|     ~|12.227|O8.5II((f))                        |  31|   0
1508|HD 269956                          |WR*|05 40 07.5364893415 -69 24 31.929655191|12.043|13.014|13.166|13.51 |13.205|WN4b+O8:                           |  41|   0
1509|HD 270019                          |pA?|05 42 11.5542803705 -69 01 39.317106044|12.222|12.06 |12.197|     ~|     ~|OB                                 |  22|   0
1510|CPD-69 514                         |*  |05 42 49.2645724351 -69 32 52.282299535|     ~|11.4  |11.3  |     ~|     ~|OB                                 |  19|   0
1511|HD 270284                          |*  |05 54 12.8334543289 -69 29 55.558199867|12.343|13.042|13.079|     ~|13.026|OB:                                |  10|   0
1512|SK -69 212                         |s*b|05 36 06.3761816534 -69 11 47.542429578|     ~|12.401|12.416|12.27 |12.337|O6If                               |  15|   0
1513|Brey 55                            |WR*|05 35 15.18 -69 05 43.1                |15.612|15.542|15.389|     ~|     ~|WN4o                               |  19|   0
1514|Brey 57                            |WR*|05 35 59.8169082147 -69 11 22.218225371|13.143|13.784|13.486|     ~|12.060|WN7ha+OB                           |  31|   0
1515|Brey 58                            |WR*|05 35 42.2160 -69 11 54.240            |     ~|14.62 |14.13 |     ~|     ~|O3If*/WN6                          |  36|   0
1516|Brey 60                            |WR*|05 35 44.279 -68 59 36.79              |14.527|15.068|14.782|14.87 |14.473|WN4+O8:                            |  23|   0
1517|Brey 69                            |WR*|05 37 11.4812136852 -69 07 38.184555289|15.959|16.427|16.301|     ~|15.936|WN3o                               |  21|   0
1518|Brey 76                            |WR*|05 38 41.8800 -69 06 13.680            |     ~|     ~|12.5  |     ~|     ~|O2If*/WN5                          |  29|   1
1519|Brey 78                            |WR*|05 38 40.2960 -69 05 59.640            |     ~|     ~|     ~|     ~|     ~|O2.5If*/WN6                        |  36|   0
1520|W61 27-56                          |*  |05 36 26.7754246059 -68 57 32.038472740|11.973|12.864|12.836|     ~|11.827|OB                                 |  19|   0
1521|SK -68 137                         |*  |05 38 24.6790604458 -68 52 32.955024368|12.243|13.274|13.346|     ~|13.242|OB                                 |  39|   0
1522|HD 269784                          |WR*|05 34 59.385 -69 44 06.33              |13.347|14.081|14.073|     ~|14.321|WN4o+O9:                           |  26|   0
1523|CPD-69 470                         |s*b|05 39 14.5236869748 -69 16 42.471472434|     ~|12.35 |12.26 |     ~|     ~|O9.7IaNstr                         |  14|   0
1524|2MASS J05381396-6907477            |SB*|05 38 13.9611988165 -69 07 47.730724200|     ~|13.44 |13.49 |     ~|     ~|O3III-I(n)f*                       |  13|   0
1525|Cl* NGC 2070 MEL 80                |*  |05 38 19.2536195732 -69 06 00.532645934|     ~|14.11 |14.08 |     ~|     ~|O8.5II((f))                        |  10|   0
1526|Cl* NGC 2070 MEL 47                |*  |05 38 37.718 -69 05 20.97              |11.913|12.764|12.046|     ~|12.344|O6-6.5II(f)                        |  18|   0
1527|Cl* NGC 2070 MEL 50                |SB*|05 38 38.4788662377 -69 06 22.019253248|     ~|13.80 |13.655|     ~|13.314|O9.7III:+O7::                      |  22|   0
1528|BAT99 97                           |WR*|05 38 38.8398291702 -69 06 49.549647180|     ~|14.23 |13.74 |     ~|13.20 |O3.5If*/WN7                        |  24|   0
1529|Cl* NGC 2070 MH 17                 |*  |05 38 39.3750 -69 06 06.312            |     ~|14.63 |14.59 |     ~|13.92 |O2V((f*))+OB                       |  20|   0
1530|Cl* NGC 2070 MEL 27                |SB*|05 38 41.2976 -69 05 32.391            |     ~|13.83 |13.76 |     ~|13.56 |O9.7II                             |  14|   0
1531|Cl* NGC 2070 MEL 25                |SB*|05 38 41.5495267078 -69 05 19.506347564|     ~|13.33 |13.31 |     ~|13.36 |ON2V((n))((f*))                    |  24|   0
1532|MH 12                              |SB*|05 38 43.026 -69 04 13.15              |     ~|13.96 |13.99 |     ~|     ~|ON9Ia:+O7.5:I:(f):                 |  17|   0
1533|Cl* NGC 2070 MH 749                |*  |05 38 43.2715 -69 06 16.529            |     ~|13.86 |13.82 |     ~|13.78 |O3.5-4.5                           |  20|   0
1534|BAT99 113                          |WR*|05 38 43.12 -69 05 46.8                |     ~|13.56 |13.47 |     ~|13.44 |O2If*/WN5                          |  37|   0
1535|Cl* NGC 2070 MH 859                |*  |05 38 44.2218 -69 05 56.973            |     ~|13.67 |13.94 |     ~|13.73 |O3III(f+)                          |  23|   1
1536|MH 31                              |*  |05 38 44.5648836224 -69 04 51.261031936|     ~|14.11 |14.05 |     ~|     ~|O3III(f*)                          |  22|   0
1537|Cl* NGC 2070 MEL 26                |*  |05 38 44.4177 -69 05 36.154            |     ~|13.75 |13.66 |     ~|13.59 |O4III(f)                           |  15|   0
1538|W61 7-4                            |*  |05 38 45.6885 -69 05 38.928            |     ~|13.77 |13.97 |     ~|13.92 |O7V                                |  14|   0
1539|Cl* NGC 2070 MH 984                |*  |05 38 46.1719 -69 05 51.398            |     ~|14.27 |     ~|     ~|     ~|O7V                                |  12|   0
1540|Cl* NGC 2070 MH 986                |*  |05 38 46.287 -69 05 59.28              |     ~|14.78 |14.69 |     ~|14.62 |O5-6V((n))z                        |  21|   0
1541|2MASS J05384654-6904279            |SB*|05 38 46.5347438136 -69 04 28.047040946|     ~|14.03 |13.99 |     ~|     ~|O4III(fc)                          |  15|   0
1542|Cl* NGC 2070 MH 999                |SB*|05 38 46.7862775696 -69 06 03.189762532|     ~|14.38 |14.22 |     ~|14.03 |O4III(f)                           |  23|   0
1543|W61 7-14                           |SB*|05 38 51.0429425948 -69 06 20.499807370|13.350|14.202|13.835|     ~|13.633|B2Ip+O9III:                        |  22|   0
1544|W61 7-16                           |*  |05 38 51.1992728162 -69 05 59.388687363|     ~|14.3  |14.24 |     ~|14.30 |O7.5III(n)((f))p                   |  18|   0
1545|W61 7-19                           |*  |05 38 52.7232784086 -69 06 43.254812978|13.481|14.132|13.937|     ~|13.702|O7II(f)                            |  20|   0
1546|Cl* NGC 2070 MH 57                 |*  |05 38 40.230 -69 05 59.76              |     ~|12.97 |13.0  |     ~|12.91 |O3If*/WN6-A                        |  34|   1
1547|Brey 74a                           |WR*|05 37 51.3383720439 -69 09 46.692195685|12.483|13.474|13.446|13.62 |13.278|O3If*                              |  30|   0
1548|2MASS J05384507-6905086            |Y*O|05 38 45.073 -69 05 08.64              |     ~|14.73 |14.72 |     ~|     ~|O9V(n)p                            |  18|   0
1549|NAME Walborn 2                     |** |05 38 48.1018 -69 04 42.239            |     ~|15.66 |15.39 |     ~|     ~|O2V((f*))z                         |  27|   0
1550|Cl* NGC 2070 MH 203                |*  |05 38 41.515 -69 06 00.83              |     ~|14.28 |13.67 |     ~|     ~|O3V                                |  11|   0
1551|Cl* NGC 2070 MH 339                |*  |05 38 42.22 -69 06 14.4                |     ~|13.48 |13.37 |     ~|     ~|O4                                 |  12|   1
1552|[P93] 921                          |SB*|05 38 42.09 -69 05 45.5                |     ~|15.3  |15.22 |     ~|14.938|O6II-Iab(fc)+O5.5V((fc)):          |  11|   0
1553|Cl* NGC 2070 MH 509                |*  |05 38 42.42 -69 06 01.8                |     ~|13.78 |13.73 |     ~|     ~|O3III                              |  18|   0
1554|BAT99 110                          |WR*|05 38 42.47 -69 06 02.0                |     ~|13.73 |13.73 |     ~|     ~|O2If*                              |  35|   0
1555|CXOU J053842.4-690601              |*  |05 38 42.482 -69 06 01.07              |     ~|14.33 |14.49 |     ~|     ~|O2-3.5V                            |  16|   0
1556|Cl* NGC 2070 MH 551                |*  |05 38 42.52 -69 06 03.8                |     ~|14.64 |14.81 |     ~|     ~|O3V                                |  13|   0
1557|CXOU J053842.7-690601              |*  |05 38 42.720 -69 06 01.99              |     ~|14.67 |14.63 |     ~|     ~|O3III                              |  14|   0
1558|Cl* NGC 2070 MH 716                |*  |05 38 43.0737 -69 06 11.255            |     ~|14.40 |14.26 |     ~|14.10 |O2-4.5                             |  21|   0
1559|BAT99 114                          |WR*|05 38 43.20 -69 06 14.6                |     ~|13.52 |13.40 |     ~|13.31 |O2If*/WN5                          |  32|   0
1560|Cl* NGC 2070 MH 815                |*  |05 38 43.6890 -69 05 47.855            |     ~|13.89 |13.89 |     ~|13.99 |O3.5                               |  11|   0
1561|Cl* NGC 2070 MH 878                |*  |05 38 44.2200 -69 05 46.976            |     ~|13.48 |13.36 |     ~|13.17 |O8II                               |  14|   1
1562|Cl* NGC 2070 MH 943                |SB*|05 38 45.280 -69 05 46.47              |     ~|13.77 |13.65 |     ~|13.78 |O7V(n)                             |  10|   0
1563|Cl* NGC 2070 MH 980                |*  |05 38 46.1298 -69 05 54.529            |     ~|14.94 |14.44 |     ~|14.29 |O4V                                |  10|   0
1564|2MASS J05382331-6907161            |SB*|05 38 23.3084133972 -69 07 16.085330832|13.332|14.261|14.169|     ~|14.051|O9.2II-III                         |  16|   0
1565|Brey 77                            |WR*|05 38 42.13 -69 05 55.3                |     ~|11.08 |10.96 |     ~|     ~|O2If*                              |  72|   0
1566|RMC 133                            |SB*|05 38 23.7091310171 -69 05 03.565883616|     ~|12.43 |12.49 |     ~|     ~|O7/8II                             |  28|   0
1567|CPD-69 504                         |*  |05 41 33.8157019508 -69 33 41.536930615|     ~|12.231|12.406|     ~|     ~|OB                                 |  15|   0
1568|SK -69 206                         |*  |05 35 35.9718209948 -69 07 06.552137672|     ~|12.99 |12.82 |12.99 |     ~|OB                                 |  11|   0
1569|HD 269810                          |Em*|05 35 13.8987303206 -67 33 27.540351680|     ~|12.08 |12.22 |12.53 |     ~|O3III(f*)                          |  99|   0
1570|SK -69 280                         |*  |05 41 48.9398875378 -69 17 52.384160856|     ~|12.66 |12.66 |     ~|     ~|OB                                 |  15|   0
1571|CPD-69 513                         |*  |05 42 55.4117466117 -68 59 52.843887965|     ~|12.17 |12.21 |     ~|     ~|OB                                 |  17|   0
1572|HD 269846                          |Em*|05 36 21.4902678148 -69 06 47.875504011|     ~|11.71 |11.63 |11.80 |     ~|OB                                 |  20|   0
1573|HD 270145                          |s*b|05 48 49.6518988004 -70 03 57.836005522|10.903|12.110|12.166|     ~|     ~|O6.5Iaf                            |  41|   1
1574|Brey 93                            |WR*|05 39 34.3021354505 -68 44 09.160887870|14.291|15.626|15.204|     ~|15.620|WO3                                |  62|   0
1575|[MLD95] LMC 2-703                  |*  |05 43 08.4078820142 -67 50 53.344323018|13.062|13.964|14.150|     ~|14.465|O9.5V                              |  13|   0
1576|[L72] LH 114-7                     |*  |05 43 13.0005 -67 51 16.007            |     ~|13.41 |13.66 |     ~|     ~|O2III(f*)+OV                       |  14|   0
1577|[MLD95] LMC 2-755                  |*  |05 43 16.0582824198 -67 49 51.527056563|     ~|14.15 |14.37 |     ~|     ~|O7V                                |  14|   0
1578|CPD-69 471                         |*  |05 39 11.6284 -69 30 37.417            |11.415|12.374|12.273|     ~|12.275|O2-3(n)fp                          |  15|   0
1579|W61 3-9                            |SB*|05 38 58.0847645877 -69 30 11.318720270|12.832|13.955|13.740|     ~|14.177|O9V+O9.5V                          |  12|   0
1580|OGLE BRIGHT-LMC-ECL-17             |EB*|05 34 41.3495961530 -69 31 38.667505484|12.739|13.672|14.050|13.79 |13.966|O3If+O6V                           |  21|   0
1581|[ST92] 2-28                        |EB*|05 35 50.7807838340 -69 12 00.591384268|     ~|14.66 |14.318|14.53 |14.115|O7V+O8V                            |  15|   0
1582|2MASS J05383469-6906061            |Y*O|05 38 34.5978198118 -69 06 05.904057601|     ~|16.79 |16.03 |     ~|15.49 |O7-8V                              |  15|   0
1583|Cl* NGC 2070 SMB 171               |*  |05 38 44.970 -69 05 07.69              |     ~|15.51 |15.51 |     ~|15.61 |O9:((n))                           |  16|   0
1584|BI 208                             |*  |05 33 57.3356464592 -67 24 20.182430788|12.742|13.716|13.921|     ~|14.141|O7V                                |  18|   0
1585|BI 237                             |*  |05 36 14.6329670483 -67 39 19.168530216|12.865|13.790|13.830|     ~|13.948|O2V(f*)                            |  32|   0
1586|BI 253                             |*  |05 37 34.4596743399 -69 01 10.179743278|12.765|13.650|13.669|     ~|13.742|O2V(f*)                            |  40|   0
1587|SK -68 155                         |*  |05 42 54.9430757487 -68 56 54.481472161|     ~|12.75 |12.72 |     ~|     ~|OB                                 |  18|   0
1588|2MASS J05382227-6907508            |SB*|05 38 22.2708418262 -69 07 50.816473388|     ~|15.34 |15.33 |     ~|     ~|O8.5V(n)+sec                       |  11|   0
1589|2MASS J05382805-6906290            |SB*|05 38 28.0596468216 -69 06 29.062174035|     ~|15.07 |14.95 |     ~|     ~|O8V                                |  12|   0
1590|[P93] 169                          |*  |05 38 29.4293104885 -69 05 21.209866080|     ~|14.99 |14.80 |     ~|     ~|O9.7                               |  11|   0
1591|2MASS J05382952-6906206            |*  |05 38 29.53 -69 06 20.6                |     ~|15.84 |15.82 |     ~|     ~|O8.5V                              |  12|   0
1592|[P93] 222                          |*  |05 38 30.740 -69 08 27.13              |     ~|15.69 |15.74 |     ~|     ~|O9.7III                            |  11|   0
1593|[PVL2015] 5                        |*  |05 38 31.2265237225 -69 05 53.039689529|     ~|15.34 |15.25 |     ~|     ~|O9.5n                              |  11|   0
1594|Cl* NGC 2070 SMB 84                |SB*|05 38 32.34 -69 05 23.7                |     ~|14.65 |14.65 |     ~|14.79 |O4-5V((n))((fc))                   |  13|   0
1595|Cl* NGC 2070 MEL 58                |*  |05 38 32.600 -69 04 32.27              |12.123|13.084|12.916|     ~|13.727|O9.5IV                             |  13|   0
1596|Cl* NGC 2070 SMB 131               |*  |05 38 33.0048 -69 05 13.083            |     ~|15.2  |15.26 |     ~|15.47 |O9.5(n)                            |  10|   0
1597|Cl* NGC 2070 MEL 59a               |SB*|05 38 33.3923398035 -69 04 38.332530075|     ~|14.37 |14.40 |     ~|     ~|O5.5V((n))((f))z                   |  10|   0
1598|OGLE LMC-ECL-36524                 |EB*|05 38 33.54 -69 05 21.7                |     ~|15.99 |16.03 |     ~|15.915|O9.7                               |  11|   0
1599|Cl* NGC 2070 MEL 55                |*  |05 38 33.977 -69 04 21.12              |13.198|14.245|14.274|     ~|13.858|O6Vnn                              |  12|   0
1600|Cl* NGC 2070 SMB 158               |*  |05 38 35.84 -69 05 34.8                |     ~|15.49 |15.40 |     ~|15.44 |O9:V(n)                            |  14|   0
1601|2MASS J05383687-6904582            |SB*|05 38 36.8563558756 -69 04 58.322800555|     ~|14.58 |14.69 |     ~|     ~|O7.5-8V                            |  13|   0
1602|Cl* NGC 2070 SMB 214               |*  |05 38 37.0294 -69 06 50.696            |     ~|15.9  |15.65 |     ~|15.21 |O8-9V(n)((f))                      |  10|   0
1603|VFTS 441                           |SB*|05 38 37.810 -69 03 28.93              |     ~|15    |15.07 |     ~|     ~|O9.5V                              |  10|   0
1604|Cl* NGC 2070 SMB 97                |SB*|05 38 37.93 -69 05 42.9                |     ~|14.85 |14.75 |     ~|14.69 |O3-4V:((fc)):+O4-7V:((fc)):        |  12|   0
1605|OGLE LMC175.3 24041                |SB*|05 38 38.75 -69 06 13.1                |     ~|14.99 |14.84 |     ~|14.549|O5:V:n                             |  15|   0
1606|[P93] 696                          |*  |05 38 39.2823074974 -69 07 52.995900051|15.253|15.843|15.567|     ~|15.039|O9III                              |  10|   0
1607|Cl* NGC 2070 SMB 365               |*  |05 38 39.2700464659 -69 06 39.028168376|     ~|16.92 |16.38 |     ~|15.36 |O5:Vn                              |  12|   0
1608|2MASS J05383950-6904383            |*  |05 38 39.5046403462 -69 04 38.703188795|     ~|15.38 |15.46 |     ~|     ~|O6:V((f))z                         |  11|   0
1609|2MASS J05384074-6908249            |*  |05 38 40.7229732227 -69 08 24.934774483|15.347|16.015|15.808|     ~|15.458|O6V((f))z                          |  12|   0
1610|Cl* NGC 2070 SMB 213               |*  |05 38 40.86 -69 06 57.5                |     ~|15.91 |15.62 |     ~|15.10 |O6V((fc))                          |  12|   0
1611|Cl* NGC 2070 SMB 143               |SB*|05 38 41.730 -69 06 28.06              |     ~|15.4  |15.28 |     ~|15.05 |O5V((n))((fc))z                    |  12|   0
1612|Cl* NGC 2070 SMB 68                |SB*|05 38 41.750 -69 06 24.94              |     ~|14.48 |14.28 |     ~|13.89 |O2V-III((f*))                      |  16|   0
1613|Cl* NGC 2070 SMB 138               |SB*|05 38 41.940 -69 06 29.62              |     ~|15.38 |15.11 |     ~|14.69 |O3.5III(f*)                        |  13|   0
1614|VFTS 521                           |** |05 38 42.0154 -69 07 04.979            |     ~|15.51 |15.34 |     ~|     ~|O9V(n)                             |  14|   0
1615|OGLE LMC-ECL-21435                 |EB*|05 38 42.38 -69 04 43.1                |     ~|16.01 |15.94 |     ~|15.889|O9.5(n)                            |  12|   0
1616|[P93] 956                          |*  |05 38 42.3779 -69 04 24.743            |     ~|15.58 |15.58 |     ~|     ~|O9.7(n)                            |  13|   0
1617|OGLE LMC175.3 24050                |EB*|05 38 42.66 -69 06 35.8                |     ~|14.96 |14.76 |     ~|14.447|O3V(n)((f*))z+OB                   |  16|   0
1618|OGLE LMC-ECL-21439                 |SB*|05 38 42.65 -69 04 13.5                |     ~|14.39 |14.50 |     ~|14.568|O9.5III:nn                         |  12|   0
1619|[P93] 1012                         |*  |05 38 43.1030 -69 07 02.095            |     ~|16.28 |16.14 |     ~|     ~|O9.5(n)                            |  11|   0
1620|2MASS J05384305-6903447            |*  |05 38 43.0354520985 -69 03 44.875335682|     ~|16.06 |15.99 |     ~|     ~|O5V((fc))z                         |  11|   0
1621|Cl* NGC 2070 SMB 152               |SB*|05 38 43.200 -69 05 27.46              |     ~|15.43 |15.41 |     ~|15.60 |O9IV+O9.7:V                        |  12|   0
1622|[P93] 1052                         |*  |05 38 43.3868 -69 04 46.386            |     ~|15.4  |15.36 |     ~|     ~|O8-9III:((n))                      |  10|   0
1623|2MASS J05384358-6907516            |*  |05 38 43.5871898616 -69 07 51.928524330|     ~|16.86 |16.51 |     ~|     ~|O6.5Vz                             |  10|   0
1624|[P93] 1133                         |*  |05 38 44.2861419515 -69 07 16.634244315|     ~|16.71 |16.49 |     ~|     ~|O9.7(n)                            |  10|   0
1625|Cl* NGC 2070 SMB 350               |*  |05 38 44.350 -69 06 40.73              |     ~|16.64 |16.59 |     ~|16.57 |O9.5V                              |  14|   0
1626|Cl* NGC 2070 SMB 237               |SB*|05 38 44.540 -69 06 28.73              |     ~|16.1  |15.91 |     ~|15.77 |O9.7III:+B0:V:                     |  11|   0
1627|Cl* NGC 2070 SMB 259               |*  |05 38 44.6850 -69 05 13.907            |     ~|16.16 |16.09 |     ~|16.52 |O9.2III:                           |  13|   0
1628|2MASS J05384509-6904157            |*  |05 38 45.095 -69 04 15.76              |     ~|16.25 |16.07 |     ~|     ~|O4-5V((fc))                        |  11|   0
1629|Cl* NGC 2070 SMB 175               |** |05 38 46.0657 -69 06 56.245            |     ~|15.59 |15.56 |     ~|15.62 |O8-9V(n)                           |  12|   0
1630|W61 7-7                            |SB*|05 38 46.1994 -69 06 16.007            |     ~|13.88 |13.80 |     ~|13.73 |O3III(f*)                          |  21|   0
1631|W61 7-9                            |*  |05 38 48.1964014921 -69 08 10.920332276|14.384|15.051|15.197|     ~|14.490|O5-6n(f)p                          |  13|   0
1632|2MASS J05384889-6908279            |SB*|05 38 48.8703684847 -69 08 28.118817048|15.549|16.260|16.281|     ~|15.802|O9.7III(n)                         |  11|   0
1633|Cl* NGC 2070 SMB 174               |SB*|05 38 49.0408786306 -69 06 19.665747648|     ~|15.59 |15.52 |     ~|15.54 |O9.5IV                             |  11|   0
1634|W61 7-12                           |SB*|05 38 50.4026084938 -69 05 38.268607222|     ~|14.24 |14.16 |     ~|14.17 |O5.5IV(f)                          |  18|   0
1635|Cl* NGC 2070 SMB 224               |*  |05 38 51.8138512466 -69 05 46.961743631|     ~|15.95 |15.92 |     ~|15.96 |O9.5Vnn                            |  12|   0
1636|Cl* NGC 2070 SMB 118               |*  |05 38 52.8329319147 -69 06 12.123203793|     ~|15.1  |15.03 |     ~|15.09 |O6V((f))                           |  10|   0
1637|W61 7-18                           |SB*|05 38 52.9703182884 -69 07 45.407479068|13.795|14.467|14.242|     ~|13.848|O8Ib(f)                            |  15|   0
1638|W61 28-22                          |EB*|05 34 48.1068216042 -69 42 36.504750562|     ~|12.81 |12.97 |13.06 |13.04 |O7III                              |  17|   0
1639|BAT99 80                           |WR*|05 35 59.913 -69 11 50.70              |     ~|     ~|13.0  |     ~|     ~|O4If+OB                            |  19|   0
1640|HD 269705                          |Em*|05 32 01.6648783138 -69 19 11.419098401|     ~|11.69 |11.71 |11.93 |     ~|OB                                 |  12|   0
1641|HD 269926                          |WR*|05 38 47.5177886261 -69 00 25.287665455|11.953|12.974|13.116|13.16 |12.926|WN4+OB                             |  62|   0
1642|BAT99 78                           |WR*|05 35 59.085 -69 11 51.12              |     ~|13.07 |12.94 |     ~|     ~|WN6(+O8V)                          |  21|   0
1643|W61 7-13                           |SB*|05 38 51.00 -69 05 54.7                |     ~|14.78 |14.70 |     ~|14.71 |O7V(n)z                            |  15|   0
1644|W61 28-5                           |*  |05 34 28.4649259443 -69 43 56.833684161|12.795|13.630|13.774|     ~|14.063|O4V(f+)                            |  10|   0
1645|Brey 61                            |WR*|05 35 45.0257300827 -68 58 44.534221076|14.632|15.532|15.376|     ~|15.533|WN4h+O3:                           |  22|   0
1646|X LMC X-1                          |HXB|05 39 38.8285930597 -69 44 35.533031148|     ~|14.8  |14.5  |     ~|     ~|O8(f)p                             | 564|   2
1647|W61 28-23                          |*  |05 34 50.1540862374 -69 46 32.546327882|12.698|13.596|13.702|     ~|13.752|O3.5V(f+)                          |  12|   0
1648|[M2002] LMC 163521                 |*  |05 35 45.2600 -69 11 35.105            |     ~|14.11 |14.3  |     ~|     ~|O3.5III(f+)                        |  10|   0
1649|SK -69 279                         |Em*|05 41 44.6557001998 -69 35 14.904660652|12.079|12.787|12.842|13.03 |12.619|OB                                 |  45|   0
1650|2MASS J05394188-6946122            |Y*O|05 39 41.886 -69 46 12.21              |     ~|     ~|     ~|     ~|     ~|O6.5V                              |  19|   1
1651|HD 269896                          |s*b|05 37 49.1360518133 -68 55 01.642483154|11.338| 9.493|11.449|11.49 |     ~|ON9.7Ia+                           |  79|   0
1652|HD 34632                           |WR*|05 13 43.7715301497 -67 22 29.381793393|12.144|13.002|13.07 |13.41 |13.271|WN4+OB                             |  28|   0
1653|SK -67 69                          |*  |05 14 20.0724897322 -67 08 03.171856399|11.950|13.012|13.040|     ~|13.330|O3III                              |  24|   0
1654|HD 269371                          |*  |05 20 19.0831877865 -67 18 05.682819524|     ~|11.3  |11.0  |     ~|     ~|OB                                 |  39|   0
1655|HD 269504                          |*  |05 25 38.9268187748 -67 19 00.064428554|     ~|11.86 |11.95 |     ~|     ~|OB                                 |  29|   0
1656|HD 269545                          |*  |05 26 56.4767919890 -67 39 35.044760625|     ~|11.77 |11.90 |     ~|     ~|OB                                 |  15|   0
1657|HD 269698                          |s*b|05 31 44.2083142709 -67 38 01.378514813| 9.520|12.00 |12.22 |12.47 |11.167|O4Ia                               | 109|   0
1658|HD 269713                          |*  |05 32 07.3209649203 -67 29 13.968700895|     ~|11.81 |11.88 |     ~|     ~|OB                                 |  16|   0
1659|SK -67 108                         |*  |05 26 26.4630922006 -67 37 20.457955046|     ~|12.320|12.525|     ~|     ~|OB                                 |  20|   0
1660|SK -67 111                         |s*b|05 26 48.0782222412 -67 29 29.782065045|     ~|12.33 |12.42 |     ~|     ~|O6Iaf(n)pv                         |  45|   0
1661|HD 269714                          |Cl*|05 32 11.4800746706 -67 41 15.671075870| 9.463|12.06 |12.77 |     ~|11.026|OB                                 |  22|   0
1662|CPD-68 312                         |*  |05 05 15.1973048039 -68 02 14.144043236|10.810|11.721|11.71 |     ~|11.725|OB                                 |  22|   0
1663|SK -68 31                          |Em*|05 03 46.7159179740 -67 59 27.607878840|12.797|13.517|13.717|13.78 |13.859|OB:                                |  11|   0
1664|SK -68 45                          |*  |05 06 07.2869313360 -68 07 06.158654901|10.782|11.92 |12.007|     ~|12.136|OB                                 |  12|   0
1665|SV* HV 5582                        |Em*|05 06 58.3740225606 -68 20 58.590822840|     ~|13.33 |13.28 |13.39 |13.116|OB:                                |  12|   0
1666|HD 268960                          |*  |05 03 12.6984686985 -69 01 37.040550805|11.218|12.01 |12.166|     ~|12.443|O(f)+B1I?                          |  18|   0
1667|Brey 16a                           |WR*|05 09 53.7663260035 -68 52 52.474321846|     ~|14.12 |13.93 |     ~|     ~|WC5+O                              |  16|   0
1668|HD 269463                          |*  |05 23 28.4352104980 -68 12 23.345213722|     ~|11.99 |12.05 |     ~|     ~|OB                                 |  24|   0
1669|HD 36521                           |WR*|05 26 30.241 -68 50 27.52              |     ~|12.16 |12.32 |12.53 |     ~|WC4+O6III/V+O                      |  81|   0
1670|HD 269382                          |SB*|05 19 17.768 -69 39 14.23              |     ~|11.64 |11.81 |     ~|     ~|O9.5Ib                             |  23|   0
1671|SK -69 162                         |*  |05 29 55.9689696124 -69 00 11.975740131|     ~|11.74 |11.80 |     ~|     ~|OB                                 |  10|   0
1672|Brey 38                            |WR*|05 28 17.9144901496 -69 02 35.894956119|     ~|15.22 |15.26 |     ~|     ~|WN4o                               |  29|   0
1673|AL 139                             |Em*|05 20 31.1378706838 -68 00 57.232797079|12.410|13.35 |13.438|13.45 |13.335|OB:                                |  12|   0
1674|LHA 120-S 101                      |Em*|05 22 00.4305851379 -68 52 19.240020071|     ~|13.35 |13.21 |13.49 |12.730|OBe                                |  13|   0
1675|HD 269311                          |*  |05 17 17.5453480519 -69 46 44.094816250|10.211|11.999|11.428|     ~|11.474|OB                                 |  16|   0
1676|SK -69 97                          |*  |05 18 18.0106495854 -69 45 48.720345821|12.003|12.934|12.916|     ~|13.295|OB                                 |  10|   0
1677|SK -69 124                         |*  |05 25 18.2523127241 -69 03 11.491757380|11.583|12.664|12.826|     ~|12.791|OB                                 |  24|   0
1678|[HP99] 946                         |Be*|05 20 30.9009 -69 31 54.999            |     ~|14.41 |14.40 |     ~|     ~|O8e                                |  52|   0
1679|HD 269219                          |Em*|05 13 41.9257292358 -69 20 05.693937290| 9.86 |10.80 |10.87 |11.09 |     ~|OB                                 |  12|   0
1680|HD 269189                          |*  |05 14 01.9072484091 -67 19 51.429054091|10.749|11.566|11.499|     ~|11.485|OB                                 |  16|   0
1681|HD 269717                          |*  |05 32 19.8250781136 -67 41 11.672501961|     ~|11.99 |12.68 |     ~|     ~|OB                                 |  14|   0
1682|HD 35517                           |WR*|05 19 16.3520500120 -69 39 20.008292786|11.193|11.754|11.58 |12.36 |11.953|WC4+O5/6III/V+O                    |  82|   0
