C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
1532|V* S PsA                           |Mi*|22 03 45.8354032750 -28 03 04.013859129|     ~|12.08 | 8.00 |     ~|     ~|M3e                   |  30|   0
1533|EGM 95                             |PM*|00 21 56.0447626099 -31 24 21.812262092|13.82 |12.635|11.130|10.121| 8.919|M1.5                  |  44|   0
1534|V* S Scl                           |Mi*|00 15 22.2668636998 -32 02 42.963790849|     ~| 9.98 | 6.20 |     ~|     ~|M7/8IIIe              | 132|   0
1535|* eta Scl                          |LP*|00 27 55.6981983820 -33 00 25.790033840| 8.26 | 6.45 | 4.81 | 3.22 | 1.84 |M2/3III               |  53|   0
1536|CD-31 306                          |BS*|00 50 15.7694437410 -30 59 56.199734557|     ~|12.73 |12.72 |     ~|     ~|F3VkA2mA2             |  30|   0
1537|HD 8498                            |V* |01 23 30.9584271430 -30 56 44.213797807|     ~| 7.418| 5.819|     ~|     ~|M0III                 |  53|   0
1538|CD-28 657                          |PM*|02 05 23.6523877331 -28 04 11.040404726|13.41 |12.262|10.875| 9.976| 9.033|M1+V                  |  40|   0
1539|G 274-146                          |** |02 05 24.685776 -28 03 15.30324        |     ~|14.25 |12.80 |12.43 |     ~|M4                    |  33|   0
1540|V* UU For                          |Mi*|02 37 23.0619541730 -26 58 42.300584247|     ~|11.64 |10.13 |12.51 | 8.45 |M9                    |  53|   0
1541|V* V PsA                           |AB*|22 55 19.6818797314 -29 36 44.522048169|     ~|10.18 | 9.30 |     ~|     ~|M7/8III               |  45|   0
1542|V* Y Scl                           |LP*|23 09 05.5603140187 -30 08 02.144630134|     ~| 9.86 | 8.70 |     ~|     ~|M6III                 |  45|   0
1543|V* AU Scl                          |dS*|00 15 07.9724201636 -29 00 23.014513262|     ~| 9.48 | 9.050|     ~|     ~|A3/5mF0-F5            |  39|   0
1544|GSC 06354-00357                    |Ro*|21 10 05.3574031320 -19 19 57.613511950|     ~|     ~|11.66 |     ~|     ~|M2                    |  32|   0
1545|* alf PsA C                        |** |22 48 04.4925278822 -24 22 07.722882232|     ~|14.301|12.624|12.216| 9.674|M4.0Ve                |  56|   0
1546|CD-26 16501                        |PM*|23 10 15.7442594238 -25 55 52.704272779|14.068|12.808|11.273|10.256| 9.064|M2V                   |  53|   0
1547|G 275-106                          |Er*|23 48 36.0556915149 -27 39 38.928566872|     ~|13.948|12.34 |11.25 | 9.88 |M2.5                  |  35|   0
1548|HD 223991                          |** |23 54 21.40694 -27 02 34.4460          |     ~| 6.55 | 6.35 |     ~|     ~|kA2hA2VmA4+F2V        |  46|   0
1549|SSSPM J2352-2538                   |LM*|23 51 50.4655324606 -25 37 36.839115132|     ~|     ~|     ~|     ~|     ~|M9e                   |  32|   0
1550|V* SY Scl                          |Mi*|00 07 36.2429880634 -25 29 39.954868429|     ~|     ~|12.15 |     ~|     ~|M6e                   |  60|   0
1551|CD-27 16                           |PM*|00 09 04.3583705340 -27 07 19.679855931|14.332|13.184|11.670|10.729| 9.763|M0V                   |  41|   0
1552|LP 881-64                          |** |00 24 44.220360 -27 08 25.04904        |     ~|17.18 |15.338|13.502|11.403|M5.5/6Ve+M8.5Ve       | 120|   0
1553|SKB 2                              |Pe*|00 41 39.8197261334 -26 18 54.463949137|     ~|13.338|12.221|11.704|11.321|CEMP-s                |  83|   0
1554|RG 0050-2722                       |PM*|00 52 54.6987744919 -27 05 59.558907125|     ~|     ~|21.51 |     ~|     ~|M7.5:V                |  39|   0
1555|CD-26 304                          |Pe*|00 57 18.1376089543 -25 26 09.699477820|     ~|13.57 |12.69 |12.198|11.759|CEMP-s                |  62|   1
1556|G 269-70                           |CV*|00 59 28.8887547784 -26 31 05.657727154|     ~|16.22 |15.94 |     ~|     ~|M5.5                  |  37|   0
1557|LEHPM 1481                         |PM*|01 22 50.9353253987 -24 39 50.693320318|     ~|15.71 |14.24 |13.89 |     ~|M3.5V                 |  32|   0
1558|BPS CS 22898-0027                  |Pe*|21 05 45.0995574992 -18 36 57.505496795|     ~|13.26 |12.76 |12.476|12.094|CEMP-r/s              |  80|   0
1559|Ross 769                           |PM*|21 04 53.3814348388 -16 57 31.948746396|14.061|12.946|11.467|10.505| 9.421|M1.5V                 |  55|   0
1560|HD 206546                          |SB*|21 43 13.5333788360 -19 37 15.458081631|     ~| 6.468| 6.209|     ~|     ~|A0mA5-F0              |  80|   0
1561|2MASSW J2206228-204705             |LM*|22 06 22.80192 -20 47 05.8956          |     ~|     ~|19.788|17.452|14.877|M8.0V                 |  43|   0
1562|V* X Aqr                           |Mi*|22 18 39.3252239992 -20 54 04.029885295|     ~|11.58 | 7.50 |     ~|     ~|M6.5e                 |  60|   1
1563|BD-22 5866                         |Al*|22 14 38.3613804926 -21 41 53.282077032|     ~|11.72 |10.428|10.137| 8.606|M0Ve                  |  32|   1
1564|V* RT Aqr                          |Mi*|22 23 12.8695570029 -22 03 23.800308164|     ~|11.46 | 8.80 |     ~|     ~|M5                    |  37|   0
1565|CD-24 17504                        |Pe*|23 07 20.2536159873 -23 52 35.956455668|     ~|12.51 |12.18 |     ~|     ~|CEMP-no               |  82|   0
1566|HD 319                             |PM*|00 07 46.9004138978 -22 30 30.805804687|     ~| 6.055| 5.923|     ~|     ~|A1VbmA2_lB            |  96|   0
1567|HE 0024-2523                       |Pe*|00 27 27.6485410349 -25 06 28.291081599|15.067|15.32 |14.91 |     ~|     ~|CEMP-s                |  65|   0
1568|V* BG Cet                          |dS*|00 36 06.8578534369 -22 50 32.406594567|     ~| 6.35 | 6.06 |     ~|     ~|A5mA5-F0              |  71|   0
1569|CD-24 266                          |BS*|00 40 47.9313778053 -24 07 34.183052519|     ~|12.955|12.656|12.441|12.216|CEMP-s                |  90|   0
1570|HD 7908                            |*  |01 18 25.3735394167 -23 00 47.602319343|     ~| 7.569| 7.302|     ~|     ~|F0VmA3_lB             |  43|   0
1571|CD-22 526                          |PM*|01 32 26.2022533245 -21 54 18.440892832|13.856|12.668|11.155|10.179| 9.091|M1.5Vk:               |  45|   0
1572|HD 11507                           |Er*|01 52 49.1730642239 -22 26 05.489723428|11.572|10.322| 8.883| 7.975| 7.072|M0V                   | 116|   0
1573|* ups Cet                          |PM*|02 00 00.3091617 -21 04 40.194571      | 7.45 | 5.58 | 4.02 | 2.76 | 1.72 |M0III                 |  93|   0
1574|V* RS Cap                          |AB*|21 07 15.4302361628 -16 25 21.486651603|     ~| 9.56 | 8.36 |     ~|     ~|M6/7III               |  64|   0
1575|* 29 Cap                           |V* |21 15 44.8424995871 -15 10 17.421539144|     ~| 6.894| 5.317|     ~|     ~|M2III                 |  33|   0
1576|* gam Cap                          |a2*|21 40 05.4564778 -16 39 44.307184      | 4.19 | 3.98 | 3.67 | 3.47 | 3.34 |kF0hF1VmF2            | 185|   0
1577|L 715-89                           |PM*|22 02 00.764352 -19 28 59.11932        |     ~|13.56 |12.03 |11.65 |     ~|M4                    |  34|   0
1578|V* FL Aqr                          |Er*|22 38 45.2813724538 -20 36 51.812329450|     ~|13.08 |11.49 |11.22 | 8.77 |M3.5V                 | 129|   0
1579|V* FK Aqr                          |Er*|22 38 45.5745793091 -20 37 16.086999376|11.714|10.595| 9.083| 8.073| 6.876|M0Vep                 | 250|   0
1580|BD-22 6219                         |PM*|23 54 46.3042143548 -21 46 28.240841562|13.483|12.268|10.809| 9.896| 8.992|M0V                   |  44|   0
1581|V* T Cet                           |S* |00 21 46.2731778 -20 03 28.884826      |     ~| 7.32 | 5.74 |     ~|     ~|M5-6Se                | 139|   0
1582|HD 4158                            |*  |00 43 54.0507216077 -20 23 59.224550251|     ~| 9.76 | 9.54 |     ~|     ~|F2VkA1.5mA1.5_lB      |  36|   0
1583|EGGR 285                           |WD*|00 37 25.001088 -20 53 42.53208        |     ~|14.94 |14.39 |14.38 |     ~|DA3+dM                |  40|   0
1584|BD-18 359                          |SB*|02 05 04.8847786089 -17 36 52.778445179|12.86 |11.705|10.189| 9.141| 7.851|M2.5                  | 121|   0
1585|LP 771-21                          |LM*|02 48 40.9989381330 -16 51 22.112790174|     ~|     ~|     ~|17.721|15.249|M8V                   |  32|   0
1586|Wolf 918                           |PM*|21 09 17.4274978426 -13 18 09.019135738|13.501|12.362|10.869| 9.891| 8.805|M1V                   | 121|   0
1587|V* T Cap                           |Mi*|21 22 00.8199174366 -15 09 33.128527377|     ~|12.64 | 8.40 |     ~|     ~|M6e:                  |  45|   0
1588|V* EW Aqr                          |dS*|21 11 41.3384350536 -14 28 20.559015684|     ~| 6.742| 6.445|     ~|     ~|Fm_dD                 |  64|   0
1589|* del Cap                          |Al*|21 47 02.4442395 -16 07 38.233507      | 3.22 | 3.12 | 2.83 | 2.59 | 2.43 |kA5hF0mF2III          | 259|   0
1590|L 788-37                           |PM*|22 13 42.8628179730 -17 41 08.676495139|     ~|15.32 |13.672|13.443|     ~|M5                    |  48|   0
1591|L 788-34                           |Er*|22 23 06.9970953617 -17 36 26.334021970|     ~|15.09 |13.30 |11.87 |10.04 |M4.5Ve                |  75|   0
1592|V* RU Aqr                          |LP*|23 24 24.3075516173 -17 19 08.713999362|     ~|10.47 | 9.28 |     ~|     ~|M4/5III               |  31|   0
1593|* 7 Cet                            |LP?|00 14 38.4165523 -18 55 58.314488      | 8.07 | 6.12 | 4.46 | 3.06 | 1.92 |M1III                 |  86|   0
1594|BPS CS 29527-0015                  |Pe*|00 29 10.6813715074 -19 10 07.306464364|     ~|14.61 |14.24 |     ~|     ~|CEMP-no               |  53|   0
1595|G 268-110                          |PM*|01 04 53.8030201840 -18 07 28.627919243|     ~|16.34 |14.47 |14.81 |10.97 |M5                    |  37|   0
1596|BPS CS 31082-0001                  |Pe*|01 29 31.1311330115 -16 00 45.496485322|12.527|12.427|11.642|11.189|10.713|CEMP                  | 245|   0
1597|G 272-61B                          |Er*|01 39 01.6334059022 -17 57 01.121866655|     ~|     ~|     ~|     ~|     ~|M6V                   | 793|   0
1598|G 272-61A                          |Er*|01 39 01.3765356886 -17 57 02.399297242|     ~|     ~|     ~|     ~|     ~|M5.5V                 | 100|   0
1599|G 272-61                           |** |01 39 01.452936 -17 57 02.04516        |     ~|13.93 |12.08 |11.782| 8.93 |M5.5V+M6V             |  44|   0
1600|GD 984                             |WD*|01 34 24.0762198763 -16 07 08.094570627|     ~|13.6  |13.98 |14.3  |     ~|DA1+dM                |  66|   0
1601|HE 0239-1340                       |Pe*|02 41 42.3721693746 -13 28 10.604872550|     ~|14.73 |13.97 |13.566|13.080|CEMP-no               |  54|   0
1602|L 802-6                            |PM*|02 58 10.2285414990 -12 53 06.000158836|     ~|14.40 |12.669|12.258|     ~|sdM3.0                |  37|   0
1603|HE 2148-1247                       |Pe*|21 51 17.9099257554 -12 33 41.560711332|     ~|15.2  |14.79 |     ~|     ~|CEMP-r/s              |  43|   0
1604|LP 760-3                           |Er*|22 28 54.3488733354 -13 25 19.458646458|     ~|19.3  |17.14 |     ~|     ~|M6.5V                 |  68|   0
1605|V* EZ Aqr                          |Er*|22 38 33.576000 -15 17 59.75700        |15.762|14.33 |12.38 |12.12 | 8.677|M5V                   | 284|   1
1606|* tau Aqr                          |*  |22 49 35.5015682 -13 35 33.476641      | 7.51 | 5.57 | 3.98 | 2.79 | 1.84 |M0III                 |  77|   0
1607|V* HK Aqr                          |BY*|23 08 19.5510988144 -15 24 35.768241707|13.4  |12.282|10.872| 9.964| 9.019|M0Ve                  | 184|   0
1608|BD-17 6768                         |** |23 32 46.80410 -16 45 07.2407          |12.81 |11.86 |10.38 |     ~| 8.020|M3Ve                  |  67|   0
1609|BD-17 6785                         |PM*|23 38 08.1567743770 -16 14 10.202600605|     ~|12.15 |11.288|11.079| 9.08 |M2V                   |  31|   0
1610|G 273-130                          |** |23 45 31.279776 -16 10 19.40016        |     ~|15.7  |     ~|14.161|     ~|M5+M5                 |  30|   0
1611|V* R Aqr                           |Sy*|23 43 49.4629939776 -15 17 04.184232557|     ~| 8.823| 7.683| 9.37 |     ~|M6.5-8.5e             | 742|   0
1612|V* Z Aqr                           |Mi*|23 52 14.6208436062 -15 51 16.647565865|     ~|10.56 | 9.50 |     ~|     ~|M1/2Ib/II             |  34|   0
1613|G 158-50                           |** |00 15 28.11090 -16 08 01.6303          |14.49 |13.187|11.483|10.273| 8.711|M4V                   | 114|   0
1614|HD 1879                            |PM*|00 23 04.3911015016 -15 56 33.113162313|     ~| 8.006| 6.425|     ~|     ~|M2III                 |  38|   0
1615|G 268-38                           |PM*|00 44 59.3314993038 -15 16 17.543124886|     ~|     ~|14.150|13.801|     ~|M4.5                  |  75|   0
1616|SB 960                             |Pe*|00 44 03.5698517387 -13 55 26.270588506|     ~|12.69 |12.15 |11.806|11.483|CEMP-s                | 102|   0
1617|L 728-1                            |PM*|02 09 36.1337123969 -14 21 32.642197782|14.469|13.294|11.770|10.715| 9.427|M2.5V                 |  41|   0
1618|V* U Cet                           |Mi*|02 33 43.6697702618 -13 08 54.469099918|     ~| 9.70 | 6.80 |     ~|     ~|M3.5-6e               |  93|   0
1619|V* Z Eri                           |LP*|02 47 55.9216430852 -12 27 38.316879302| 9.83 | 8.46 | 6.90 |     ~|     ~|M5III                 | 104|   0
1620|BD-12 6174                         |PM*|22 05 51.3032405915 -11 54 51.201338922|12.755|11.541|10.106| 9.2  | 8.87 |M0V                   |  30|   1
1621|HD 216018                          |*  |22 49 26.5144850245 -11 20 57.253626267|     ~| 7.97 | 7.62 |     ~|     ~|A(3)+F(m)             |  31|   0
1622|BD-13 6424                         |Ro*|23 32 30.8615303174 -12 15 51.465549870|     ~|12.38 |10.639|10.320| 8.646|M0Ve                  |  55|   0
1623|LP 704-15                          |** |23 57 20.5794841916 -12 58 48.851521614|     ~|14.61 |13.02 |12.818|10.12 |M4+M8                 |  30|   1
1624|V* AG Cet                          |LP*|00 28 00.5464119027 -11 39 31.682433658|     ~| 8.56 | 7.36 |     ~|     ~|M5III                 |  40|   0
1625|BPS CS 31062-0050                  |Pe*|00 30 31.0633474070 -12 05 10.873150611|     ~|13.7  |13.05 |12.681|12.309|CEMP-r/s              |  60|   0
1626|G 270-188                          |PM*|01 18 16.0100294771 -12 53 59.380489593|14.371|13.263|11.796|10.788| 9.566|M2                    |  36|   0
1627|Wolf 906                           |PM*|21 01 58.6409832639 -06 19 07.476988654|13.883|12.73 |11.219|10.167| 8.86 |M2.5V                 |  63|   0
1628|* 47 Cap                           |LP*|21 46 16.2688711754 -09 16 33.379939122| 9.53 | 7.66 | 6.00 |     ~|     ~|M2III                 |  56|   0
1629|Wolf 1561 A                        |Er*|22 17 18.9690599688 -08 48 12.263234667|     ~|     ~|     ~|13.32 |10.57 |M4V                   |  80|   0
1630|Wolf 1561 B                        |PM*|22 17 18.6971431782 -08 48 19.305786576|     ~|     ~|     ~|14.26 |11.2  |M5V                   |  49|   0
1631|GJ 4282                            |** |22 33 22.6593 -09 36 53.737            |     ~|13.98 |12.41 |12.10 |10.07 |M3e                   |  41|   0
1632|G 273-147                          |PM*|23 50 31.6427744270 -09 33 32.655741106|     ~|14.7  |     ~|13.160|     ~|M3.67                 |  32|   0
1633|V* V Cet                           |Mi*|23 57 54.0772893790 -08 57 31.402994165|     ~|     ~| 8.60 |13.96 |     ~|M3/5(III)e            |  38|   0
1634|BD-10 47                           |PM*|00 19 05.5626742809 -09 57 53.469488527|12.434|11.246| 9.897| 9.061| 8.311|M0V                   |  37|   0
1635|BD-11 192                          |PM*|01 02 21.1343215744 -10 25 25.894201641|12.637|11.389| 9.993| 9.131| 8.348|M0V                   |  44|   0
1636|V* AR Cet                          |LP?|02 00 26.8227063 -08 31 25.944968      | 8.37 | 7.03 | 5.51 |     ~|     ~|M3II                  |  58|   0
1637|* 80 Cet                           |PM*|02 36 00.0479359493 -07 49 53.749900838|     ~| 7.088| 5.535|     ~|     ~|M0/1III               |  45|   0
1638|V* RR Eri                          |LP*|02 52 14.1851309337 -08 16 01.423526289|     ~| 8.59 | 7.16 |     ~|     ~|M5III                 |  47|   0
1639|BD-05 5480                         |** |21 08 45.4902104001 -04 25 36.493307291|     ~|10.62 | 9.43 |     ~|     ~|M1                    |  46|   0
1640|V* HU Aqr                          |AM*|21 07 58.1945403160 -05 17 40.557984218|     ~|15.1  |     ~|15.4  |     ~|D+M4V                 | 256|   1
1641|HD 212062                          |AB*|22 21 41.8004610645 -07 36 30.070524734|     ~|10.07 | 8.81 |     ~|     ~|M7-                   |  46|   0
1642|HD 216133                          |PM*|22 50 19.4242187160 -07 05 24.380901810|12.519|11.316| 9.847| 8.933| 8.02 |M0.5V                 |  74|   0
1643|* lam Aqr                          |LP*|22 52 36.8772324702 -07 34 46.582981294| 7.20 | 5.44 | 3.79 | 2.37 | 1.18 |M2.5IIIFe-0.5         | 167|   0
1644|* phi Aqr                          |SB*|23 14 19.3596471948 -06 02 56.398606998| 7.64 | 5.77 | 4.22 | 2.94 | 1.86 |M1.5III               | 120|   0
1645|* chi Aqr                          |LP*|23 16 50.9391613 -07 43 35.402266      | 8.26 | 6.66 | 5.06 |     ~|     ~|M3III                 |  80|   0
1646|BPS CS 22949-0048                  |Pe*|23 26 07.4168124914 -05 50 06.904987686|     ~|14.48 |13.67 |13.154|12.639|CEMP-no               |  30|   0
1647|BD-06 6318                         |PM*|23 55 39.7820148439 -06 08 33.354833245|13.769|12.644|11.158|10.127| 8.872|M2.5Vk                |  50|   0
1648|* 30 Psc                           |LP?|00 01 57.6152259896 -06 00 50.668429443| 7.88 | 6.04 | 4.41 | 2.85 | 1.44 |M3III                 | 130|   0
1649|BD-06 15                           |PM*|00 11 04.6107082459 -05 47 02.309140163|13.534|11.17 |10.811|10.407| 8.996|M0V                   |  36|   0
1650|G 158-27                           |PM*|00 06 43.1972293497 -07 32 17.024270968|     ~|     ~|13.837|13.605|10.15 |M5.5V                 | 169|   0
1651|V* AD Cet                          |LP?|00 14 27.6290894 -07 46 49.898505      | 8.55 | 6.74 | 5.12 |     ~|     ~|M3+III                |  75|   0
1652|V* UY Cet                          |AB*|00 27 06.4484430547 -06 36 16.871502759|     ~|10.61 | 9.32 |     ~|     ~|M7                    |  44|   0
1653|G 31-53                            |PM*|00 28 39.4645836819 -06 39 49.181275245|     ~|13.71 |12.23 |11.885|     ~|M4.18                 |  42|   0
1654|G 271-110                          |PM*|01 36 55.1769886272 -06 47 37.998713365|     ~|15.72 |14.00 |13.71 |     ~|M3.5V                 |  43|   0
1655|G 159-3                            |Er*|01 51 04.1006139721 -06 07 04.991560587|     ~|16.290|14.49 |13.00 |11.16 |M4.5Ve                |  41|   0
1656|V* RR Aqr                          |Mi*|21 15 01.3167546166 -02 53 44.947447383|     ~|     ~| 9.10 |     ~|     ~|M2-4e                 |  34|   0
1657|BPS CS 22965-0054                  |Pe*|22 06 30.2933577439 -02 32 34.433172529|     ~|15.69 |15.07 |14.732|14.072|CEMP-no               |  34|   0
1658|BD-05 5715                         |PM*|22 09 40.3443754647 -04 38 26.651267098|13.006|11.868|10.366| 9.279| 7.877|M3.5V                 | 224|   1
1659|TRAPPIST-1                         |LM*|23 06 29.3684052886 -05 02 29.031690445|     ~|     ~|18.798|16.466|14.024|M7.5e                 | 529|   0
1660|HE 2356-0410                       |Pe*|23 59 13.1417869434 -03 53 48.220053208|     ~|14.39 |13.60 |13.164|12.713|CEMP-no               |  82|   0
1661|G 70-28                            |PM*|01 00 56.3704480003 -04 26 56.561620649|     ~|15.06 |13.33 |     ~|     ~|M4.0V                 |  32|   0
1662|LP 647-13                          |PM*|01 09 51.2023110590 -03 43 26.391153646|     ~|20.9  |19.266|17.168|14.708|M9Ve                  |  38|   0
1663|HD 12642                           |PM*|02 03 40.4887897579 -04 06 12.650490224|     ~| 7.189| 5.609|     ~|     ~|M1IIICa1              |  36|   0
1664|* omi Cet                          |Mi*|02 19 20.79210 -02 58 39.4956          |     ~| 7.63 | 6.53 | 5.03 |     ~|M5-9IIIe+DA           |1445|   0
1665|V* EP Aqr                          |AB*|21 46 31.8467491729 -02 12 45.901666975|     ~| 7.93 | 6.78 |     ~|     ~|M7-III:               | 213|   0
1666|Wolf 940                           |PM*|21 46 40.4227438246 -00 10 23.771558058|     ~|14.31 |12.70 |12.42 |     ~|M4                    |  56|   0
1667|BPS CS 29502-0092                  |Pe*|22 22 35.9981441327 -01 38 27.624102360|     ~|12.64 |11.87 |11.365|10.862|CEMP-no               |  45|   0
1668|HD 214100                          |PM*|22 36 09.6872623687 -00 50 29.765710791|     ~|11.431| 9.930| 9.877|     ~|M1V                   |  73|   0
1669|HE 2323-0256                       |Pe*|23 26 29.8073543039 -02 39 58.037206596|     ~|15.12 |14.36 |     ~|13.358|CEMP-no               | 172|   0
1670|V* AF Psc                          |Er*|23 31 44.9253791970 -02 44 39.540513358|     ~|15.7  |14.43 |13.3  |     ~|M4.5                  |  49|   0
1671|G 157-77                           |PM*|23 35 10.4621642606 -02 23 20.614795879|     ~|16.60 |14.69 |14.447|     ~|M5.0Ve                |  67|   0
1672|V* DY Psc                          |BY*|00 24 24.6343271916 -01 58 19.968960103|     ~|     ~|19.42 |17.301|15.022|M9.5V                 | 189|   1
1673|V* Z Cet                           |Mi*|01 06 45.1214252990 -01 28 53.139577759|     ~|11.59 | 8.40 |     ~|     ~|M5-6e                 |  44|   0
1674|HE 0058-0244                       |Pe*|01 00 53.0236506123 -02 28 19.948243997|     ~|14.42 |13.73 |13.331|12.942|CEMP-r/s              |  34|   0
1675|V* R Cet                           |Mi*|02 26 02.3158911150 -00 10 41.797348953|     ~|10.5  | 7.20 |     ~|     ~|M4-5e                 | 131|   0
1676|RX J2137.6+0137                    |** |21 37 40.1868 +01 37 13.735            |     ~|14.91 |13.14 |13.071|10.439|M4.5V                 |  33|   0
1677|HD 209290                          |PM*|22 02 10.2751729794 +01 24 00.830153206|11.838|10.616| 9.146| 8.213| 7.245|M0.5V                 | 187|   0
1678|HD 213893                          |PM*|22 34 35.9388157140 +00 35 42.640914978|     ~| 8.27 | 6.73 |     ~|     ~|M0IIIb                |  52|   0
1679|V* XZ Psc                          |LP*|23 54 46.6242053 +00 06 33.518590      | 8.71 | 7.20 | 5.61 |     ~|     ~|M5III                 |  69|   0
1680|V* BR Psc                          |BY*|23 49 12.5251391270 +02 24 04.403044891|11.532|10.427| 8.993| 8.029| 6.946|dM1                   | 283|   0
1681|G 159-46                           |Er*|02 12 54.6225561050 +00 00 16.856387045|     ~|15.26 |13.58 |12.31 |10.66 |M4V                   |  49|   0
1682|G 76-39                            |LM*|02 52 45.5138666139 +01 55 50.575567957|     ~|16.27 |14.73 |13.5  |12.73 |esdM2                 |  33|   0
1683|G 28-39                            |PM*|23 08 06.9640636547 +03 19 44.374077460|13.608|12.406|10.887| 9.94 | 8.961|M0V                   |  54|   0
1684|PC 0025+0447                       |LM*|00 27 41.97336 +05 03 41.7600          |     ~|     ~|     ~|     ~|     ~|M9.5e                 |  73|   0
1685|V* R Psc                           |Mi*|01 30 38.3128180271 +02 52 53.851548498|     ~|12.40 | 7.00 |10.02 |     ~|M4-8e                 |  88|   0
1686|G 3-14                             |PM*|01 43 20.1788090313 +04 19 17.962195740|13.64 |12.45 |10.915| 9.879| 8.614|M2V                   | 118|   0
1687|* alf Psc B                        |*  |02 02 02.702254 +02 45 49.72064        |     ~| 5.389| 5.135|     ~|     ~|kA2hF2mF2(IV)         |  98|   0
1688|* alf Psc                          |a2*|02 02 02.81972 +02 45 49.5410          |     ~|     ~|     ~|     ~|     ~|kA0hA7Sr+kA2hF2mF2(IV)| 150|   0
1689|BD+02 305                          |** |01 59 12.37950 +03 31 09.2849          |     ~|     ~|     ~|     ~|     ~|M1V+M3V               |  31|   1
1690|BD+02 348                          |PM*|02 12 20.9874569826 +03 34 32.230562527|12.552|11.477|10.042| 9.092| 7.988|M1V                   | 151|   0
1691|HD 15285                           |SB*|02 27 45.86150 +04 25 55.7489          |11.398|10.101| 8.673| 7.797| 6.972|M2V                   | 127|   0
1692|V* FS Cet                          |WD*|02 35 07.5939678751 +03 43 56.817951540|11.027|12.209|12.412|12.325|11.968|DA1+dM                | 353|   0
1693|V* XY Cet                          |Al*|02 59 33.5322818773 +03 31 03.250934458|     ~| 9.04 | 8.75 |     ~|     ~|A8Vm+F0Vm             |  90|   0
1694|G 93-33                            |PM*|21 44 12.9907531886 +06 38 29.275698959|14.792|13.03 |12.165|11.039| 9.675|M3.0V                 |  33|   0
1695|* 7 Peg                            |V* |21 42 15.4507428278 +05 40 48.496543783|     ~| 6.935| 5.301|     ~|     ~|M2III                 |  36|   1
1696|StKM 1-1950                        |** |21 52 10.41792 +05 37 35.8596          |     ~|13.63 |12.141|11.836|     ~|M2.4V                 |  53|   0
1697|V* V Peg                           |Mi*|22 01 02.6135433973 +06 07 11.053481986|     ~|     ~| 7.00 |     ~|     ~|M6-6.5e               |  51|   0
1698|G 28-24                            |PM*|22 55 56.8193920050 +05 45 18.344111524|13.796|12.661|11.212|10.267| 9.216|M1V                   |  39|   0
1699|Wolf 1051                          |PM*|23 58 32.6570994325 +07 39 30.124696331|14.382|13.258|11.739|10.654| 9.277|M3.0Ve                |  42|   0
1700|LP 525-39                          |** |00 32 34.7992 +07 29 26.957            |     ~|     ~|12.8  |12.253|     ~|M3Ve                  |  34|   0
1701|V* WW Psc                          |LP*|00 59 49.6869701253 +06 28 59.612788743| 9.800| 7.810| 6.140|     ~|     ~|M2.5III               |  64|   0
1702|G 2-33                             |PM*|01 17 53.2506759321 +05 28 26.150615778|12.877|12.091|10.791| 9.911| 8.923|M1V                   |  43|   0
1703|Wolf 110                           |LM*|02 02 52.1476775862 +05 42 20.953886651|     ~|13.69 |     ~|11.845|     ~|d/sdM0                |  55|   0
1704|Ross 778                           |PM*|21 27 46.4357750003 +07 17 56.222320462|     ~|13.173|     ~|11.135|     ~|M0V                   |  33|   0
1705|Wolf 953                           |PM*|21 57 26.2341725160 +08 08 13.923954396|13.619|12.487|11.031|10.056| 8.906|M1V                   |  46|   0
1706|Wolf 1014                          |PM*|22 12 35.9443794622 +08 33 11.599447209|14.713|13.545|11.982|10.913| 9.581|M3.0Ve                |  47|   0
1707|BD+08 4887                         |PM*|22 33 02.2263163957 +09 22 40.718662033|13.119|11.905|10.373| 9.399| 8.329|M0V                   |  89|   0
1708|V* KZ Peg                          |Mi*|22 54 11.4035845391 +08 54 07.371571362|     ~|     ~|     ~|     ~|     ~|M7                    |  70|   1
1709|V* R Peg                           |Mi*|23 06 39.1651966075 +10 32 36.077521179| 9.43 | 9.07 | 7.79 | 4.87 | 2.35 |M6-8.5e               | 211|   0
1710|* 55 Peg                           |V* |23 07 00.2589864288 +09 24 34.174103756| 8.020| 6.080| 4.520| 3.25 | 2.23 |M1IIIab               | 130|   0
1711|* 57 Peg                           |S* |23 09 31.4573825 +08 40 37.763634      |     ~| 6.52 | 5.14 |     ~|     ~|M4S                   | 122|   0
1712|V* S Peg                           |Mi*|23 20 32.6144159957 +08 55 08.162936814|     ~|11.02 | 6.90 |     ~|     ~|M6-8.5e               |  91|   0
1713|G 29-33                            |PM*|23 26 12.3664731591 +08 53 37.804073536|13.158|11.988|10.528| 9.623| 8.752|M0.5V                 |  50|   0
1714|HD 222377                          |PM*|23 39 55.0410765519 +09 40 38.265158157|     ~| 6.178| 5.960|     ~|     ~|A2m                   |  45|   0
1715|* 77 Peg                           |V* |23 43 22.3593106663 +10 19 53.528588878|     ~| 6.724| 5.071|     ~|     ~|M2III                 |  37|   0
