C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
58  |BD+47 3452                         |SB*|21 31 49.5778748984 +48 28 54.574772569|     ~| 9.36 | 9.30 | 9.14 |     ~|A1m+A5:               |  44|   1
59  |BD+53 2911                         |** |22 32 56.77416 +53 47 40.5528          |     ~|11.46 |10.12 | 9.4  |     ~|M0V                   |  55|   0
60  |V* FZ And                          |Er*|23 25 40.2972289170 +53 08 05.900495579|     ~|16.6  |14.59 |13.5  |     ~|M5V                   |  34|   0
61  |Ross 303                           |PM*|23 36 25.6049014770 +55 29 43.605665787|     ~|     ~|     ~|11.250|     ~|M1.5Ve                |  30|   0
62  |V* Y Cas                           |Mi*|00 03 21.4629454232 +55 40 51.995521561|     ~|     ~| 8.70 |     ~|     ~|M7.5e:                | 117|   0
63  |V* T Cas                           |Mi*|00 23 14.2676562015 +55 47 33.231249704|     ~|10.14 | 8.87 |     ~|     ~|M7-9e                 | 225|   0
64  |V* KT Per                          |DN*|01 37 08.7947323898 +50 57 20.396805365|     ~|10.70 |     ~|     ~|     ~|M3.5e                 | 120|   0
65  |* 2 Per                            |SB*|01 52 09.3724316574 +50 47 34.066209587| 5.38 | 5.623| 5.689|     ~|     ~|B9pHgMn               |  89|   0
66  |G 173-39                           |Er*|02 08 53.6242116101 +49 26 56.440779580|     ~|14.02 |12.45 |12.12 |     ~|M4.0V                 |  53|   0
67  |BD+47 612                          |PM*|02 22 14.6440695182 +47 52 48.110234827|     ~|10.85 |     ~| 9.104|     ~|M0V                   | 109|   0
68  |RX J2013.1+4002                    |WD*|20 13 09.3685301695 +40 02 24.240184767|     ~|     ~|14.6  |     ~|     ~|DAO+M2/3e             |  87|   1
